Date,Symbol,Open,High,Low,Close,Volume,Turnover,52W High,52W Low,Index/Sector Data
2020-03-02,India VIX,23.235,26.3425,19.92,25.2,0.0,0.0,0.0,0.0,Y
2020-03-02,Nifty 50,11387.35,11433.0,11036.25,11132.75,681148567.0,24204.55,0.0,0.0,Y
2020-03-02,Nifty Midcap 100,17009.4,17174.9,16573.6,16671.75,377202306.0,6799.39,0.0,0.0,Y
2020-03-02,Nifty SMLCAP 250,4901.55,4949.15,4746.25,4774.9,216898918.0,2771.27,0.0,0.0,Y
2020-03-03,India VIX,25.2025,26.49,21.5425,24.54,0.0,0.0,0.0,0.0,Y
2020-03-03,Nifty 50,11217.55,11342.25,11152.55,11303.3,696919348.0,23281.2,0.0,0.0,Y
2020-03-03,Nifty Midcap 100,16821.2,17066.1,16717.3,17004.35,315141472.0,6522.77,0.0,0.0,Y
2020-03-03,Nifty SMLCAP 250,4825.65,4859.55,4765.5,4830.2,209688013.0,3540.68,0.0,0.0,Y
2020-03-04,India VIX,24.5425,26.2875,22.425,24.23,0.0,0.0,0.0,0.0,Y
2020-03-04,Nifty 50,11351.35,11356.6,11082.15,11251.0,798021596.0,26928.46,0.0,0.0,Y
2020-03-04,Nifty Midcap 100,17035.25,17083.85,16490.4,16746.45,365076828.0,6570.85,0.0,0.0,Y
2020-03-04,Nifty SMLCAP 250,4852.55,4862.8,4687.85,4754.95,220744638.0,3170.76,0.0,0.0,Y
2020-03-05,India VIX,24.225,24.225,22.125,23.25,0.0,0.0,0.0,0.0,Y
2020-03-05,Nifty 50,11306.05,11389.5,11244.6,11269.0,1353209029.0,26980.65,0.0,0.0,Y
2020-03-05,Nifty Midcap 100,16839.5,16908.3,16627.85,16769.9,319939042.0,5540.66,0.0,0.0,Y
2020-03-05,Nifty SMLCAP 250,4782.2,4806.9,4742.75,4775.95,213735255.0,2410.92,0.0,0.0,Y
2020-03-06,India VIX,23.2475,27.55,23.2475,25.64,0.0,0.0,0.0,0.0,Y
2020-03-06,Nifty 50,10942.65,11035.1,10827.4,10989.45,1811564187.0,26455.29,0.0,0.0,Y
2020-03-06,Nifty Midcap 100,16157.85,16401.65,15970.7,16375.15,348929181.0,6435.9,0.0,0.0,Y
2020-03-06,Nifty SMLCAP 250,4598.5,4672.25,4568.4,4665.95,182043946.0,2201.33,0.0,0.0,Y
2020-03-09,India VIX,25.6425,34.355,21.425,30.8,0.0,0.0,0.0,0.0,Y
2020-03-09,Nifty 50,10742.05,10751.55,10294.45,10451.45,1566119057.0,35151.79,0.0,0.0,Y
2020-03-09,Nifty Midcap 100,15990.95,16031.75,15433.3,15633.45,402396087.0,6065.6,0.0,0.0,Y
2020-03-09,Nifty SMLCAP 250,4563.7,4571.8,4405.25,4448.45,234420208.0,2330.76,0.0,0.0,Y
2020-03-11,India VIX,30.8,33.2375,29.65,31.56,0.0,0.0,0.0,0.0,Y
2020-03-11,Nifty 50,10334.3,10545.1,10334.0,10458.4,1219079693.0,32548.47,0.0,0.0,Y
2020-03-11,Nifty Midcap 100,15574.85,15836.25,15439.9,15494.85,399116909.0,6321.4,0.0,0.0,Y
2020-03-11,Nifty SMLCAP 250,4428.3,4512.75,4417.45,4436.1,229236295.0,2273.13,0.0,0.0,Y
2020-03-12,India VIX,31.555,42.3275,29.81,41.16,0.0,0.0,0.0,0.0,Y
2020-03-12,Nifty 50,10039.95,10040.75,9508.0,9590.15,1344263317.0,39283.97,0.0,0.0,Y
2020-03-12,Nifty Midcap 100,14839.35,14880.45,14105.45,14243.05,655293368.0,7658.73,0.0,0.0,Y
2020-03-12,Nifty SMLCAP 250,4228.4,4245.95,4001.95,4043.4,258529714.0,2826.67,0.0,0.0,Y
2020-03-13,India VIX,41.1625,59.4825,41.1625,51.47,0.0,0.0,0.0,0.0,Y
2020-03-13,Nifty 50,9107.6,10159.4,8555.15,9955.2,1389061775.0,44167.89,0.0,0.0,Y
2020-03-13,Nifty Midcap 100,12932.6,14692.8,12715.0,14608.1,598179078.0,7070.82,0.0,0.0,Y
2020-03-13,Nifty SMLCAP 250,3667.1,4093.65,3471.5,4070.9,338451755.0,2738.14,0.0,0.0,Y
2020-03-16,India VIX,51.4725,59.865,51.4725,58.88,0.0,0.0,0.0,0.0,Y
