Date,Symbol,Open,High,Low,Close,Volume,Turnover,52W High,52W Low,Index/Sector Data
2025-07-01,India VIX,12.785,12.9925,12.4375,12.53,0.0,0.0,0.0,0.0,Y
2025-07-01,Nifty 50,25551.35,25593.4,25501.8,25541.8,260669106.0,23921.02,0.0,0.0,Y
2025-07-01,Nifty Midcap 100,59876.4,59911.95,59435.25,59750.05,1388813703.0,21485.57,0.0,0.0,Y
2025-07-01,Nifty SMLCAP 250,17849.95,17855.1,17695.1,17762.0,658776301.0,22472.41,0.0,0.0,Y
2025-07-02,India VIX,12.5275,12.6625,12.34,12.45,0.0,0.0,0.0,0.0,Y
2025-07-02,Nifty 50,25588.3,25608.1,25378.75,25453.4,309828013.0,26681.66,0.0,0.0,Y
2025-07-02,Nifty Midcap 100,59795.05,59864.75,59361.6,59667.25,1333498835.0,20257.96,0.0,0.0,Y
2025-07-02,Nifty SMLCAP 250,17803.35,17807.4,17623.05,17693.1,730886869.0,20476.45,0.0,0.0,Y
2025-07-03,India VIX,12.445,12.66,12.19,12.39,0.0,0.0,0.0,0.0,Y
2025-07-03,Nifty 50,25505.1,25587.5,25384.35,25405.3,293428797.0,24531.7,0.0,0.0,Y
2025-07-03,Nifty Midcap 100,59798.6,59955.5,59613.55,59683.25,1295838841.0,19146.13,0.0,0.0,Y
2025-07-03,Nifty SMLCAP 250,17721.35,17779.9,17666.1,17758.05,513802114.0,18387.32,0.0,0.0,Y
2025-07-04,India VIX,12.385,12.6975,12.24,12.32,0.0,0.0,0.0,0.0,Y
2025-07-04,Nifty 50,25428.85,25470.25,25331.65,25461.0,193511595.0,19101.33,0.0,0.0,Y
2025-07-04,Nifty Midcap 100,59782.6,59899.7,59349.65,59677.75,912048930.0,18214.04,0.0,0.0,Y
2025-07-04,Nifty SMLCAP 250,17784.05,17809.2,17683.55,17762.2,557802152.0,21215.7,0.0,0.0,Y
2025-07-07,India VIX,12.315,12.79,11.94,12.56,0.0,0.0,0.0,0.0,Y
2025-07-07,Nifty 50,25450.45,25489.8,25407.25,25461.3,196051345.0,16923.26,0.0,0.0,Y
2025-07-07,Nifty Midcap 100,59711.15,59758.05,59420.45,59515.75,726525412.0,13994.7,0.0,0.0,Y
2025-07-07,Nifty SMLCAP 250,17761.05,17799.3,17668.3,17726.35,1278296698.0,15346.62,0.0,0.0,Y
2025-07-08,India VIX,12.56,12.71,12.055,12.2,0.0,0.0,0.0,0.0,Y
2025-07-08,Nifty 50,25427.85,25548.05,25424.15,25522.5,210410530.0,21947.32,0.0,0.0,Y
2025-07-08,Nifty Midcap 100,59536.75,59669.35,58975.75,59415.45,872716925.0,18812.46,0.0,0.0,Y
2025-07-08,Nifty SMLCAP 250,17739.1,17819.3,17559.1,17684.8,1626008887.0,19497.66,0.0,0.0,Y
2025-07-09,India VIX,12.195,12.355,11.75,11.94,0.0,0.0,0.0,0.0,Y
2025-07-09,Nifty 50,25514.6,25548.7,25424.35,25476.1,239081546.0,20549.5,0.0,0.0,Y
2025-07-09,Nifty Midcap 100,59474.95,59560.45,59239.05,59339.6,805133692.0,18175.16,0.0,0.0,Y
2025-07-09,Nifty SMLCAP 250,17708.1,17800.4,17687.6,17782.45,1045876906.0,20766.46,0.0,0.0,Y
2025-07-10,India VIX,11.94,12.1875,11.6125,11.67,0.0,0.0,0.0,0.0,Y
2025-07-10,Nifty 50,25511.65,25524.05,25340.45,25355.25,219609322.0,21435.36,0.0,0.0,Y
2025-07-10,Nifty Midcap 100,59425.7,59493.45,58963.05,59159.95,690779761.0,16023.73,0.0,0.0,Y
2025-07-10,Nifty SMLCAP 250,17833.7,17859.6,17705.9,17770.65,872648914.0,16999.34,0.0,0.0,Y
2025-07-11,India VIX,11.6725,12.1225,11.535,11.82,0.0,0.0,0.0,0.0,Y
2025-07-11,Nifty 50,25255.5,25322.45,25129.0,25149.85,249987681.0,26251.65,0.0,0.0,Y
2025-07-11,Nifty Midcap 100,59104.15,59232.95,58493.05,58642.2,824681876.0,20968.2,0.0,0.0,Y
2025-07-11,Nifty SMLCAP 250,17747.15,17811.35,17609.5,17645.45,934825776.0,17793.74,0.0,0.0,Y
2025-07-14,India VIX,11.8175,12.42,11.8175,11.98,0.0,0.0,0.0,0.0,Y
2025-07-14,Nifty 50,25149.5,25151.1,25001.95,25082.3,259533624.0,23316.33,0.0,0.0,Y
2025-07-14,Nifty Midcap 100,58767.4,59099.4,58493.0,59052.55,2023709556.0,20787.21,0.0,0.0,Y
2025-07-14,Nifty SMLCAP 250,17655.6,17816.9,17561.2,17808.65,1485776256.0,21621.99,0.0,0.0,Y
2025-07-15,India VIX,11.98,12.025,11.405,11.48,0.0,0.0,0.0,0.0,Y
2025-07-15,Nifty 50,25089.5,25245.2,25088.45,25195.8,241340130.0,23282.7,0.0,0.0,Y
2025-07-15,Nifty Midcap 100,59172.15,59653.3,59098.0,59612.65,1328686265.0,19083.5,0.0,0.0,Y
2025-07-15,Nifty SMLCAP 250,17848.3,17983.65,17847.45,17952.15,925267979.0,22241.77,0.0,0.0,Y
2025-07-16,India VIX,11.48,11.6675,11.1975,11.24,0.0,0.0,0.0,0.0,Y
2025-07-16,Nifty 50,25196.6,25255.3,25121.05,25212.05,228815928.0,22254.54,0.0,0.0,Y
2025-07-16,Nifty Midcap 100,59706.95,59787.7,59502.3,59620.65,1283869083.0,18309.16,0.0,0.0,Y
2025-07-16,Nifty SMLCAP 250,17964.15,18033.05,17931.15,17983.5,1068655310.0,19149.51,0.0,0.0,Y
2025-07-17,India VIX,11.24,11.5425,10.7275,11.24,0.0,0.0,0.0,0.0,Y
2025-07-17,Nifty 50,25230.75,25238.35,25101.0,25111.45,243412540.0,24715.35,0.0,0.0,Y
2025-07-17,Nifty Midcap 100,59775.3,59790.85,59453.15,59519.1,912641965.0,18369.53,0.0,0.0,Y
2025-07-17,Nifty SMLCAP 250,18037.65,18077.35,18008.1,18032.3,820350590.0,16285.84,0.0,0.0,Y
2025-07-18,India VIX,11.2425,11.86,9.9,11.39,0.0,0.0,0.0,0.0,Y
2025-07-18,Nifty 50,25108.55,25144.6,24918.65,24968.4,316979826.0,26330.8,0.0,0.0,Y
2025-07-18,Nifty Midcap 100,59564.85,59659.7,59002.5,59104.5,769568665.0,17111.5,0.0,0.0,Y
2025-07-18,Nifty SMLCAP 250,18055.95,18070.2,17870.85,17909.25,665342264.0,16387.5,0.0,0.0,Y
2025-07-21,India VIX,11.3925,11.9425,11.0875,11.2,0.0,0.0,0.0,0.0,Y
2025-07-21,Nifty 50,24999.0,25111.4,24882.3,25090.7,305216414.0,26062.25,0.0,0.0,Y
2025-07-21,Nifty Midcap 100,59107.2,59538.8,58847.15,59468.35,770842974.0,16658.88,0.0,0.0,Y
2025-07-21,Nifty SMLCAP 250,17918.05,17928.05,17778.85,17890.2,491664443.0,14401.97,0.0,0.0,Y
2025-07-22,India VIX,11.2025,11.2275,10.6875,10.75,0.0,0.0,0.0,0.0,Y
2025-07-22,Nifty 50,25166.65,25182.0,25035.55,25060.9,483725120.0,31248.06,0.0,0.0,Y
2025-07-22,Nifty Midcap 100,59658.25,59667.35,59039.6,59103.4,740539674.0,14479.89,0.0,0.0,Y
