TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2022-07-20,2022-07-20,ABB,A,2607.75,2626.6,2578.2,2599.15,2591.1,1275,8585,22301242.0
2022-07-20,2022-07-20,AEGISLOG,A,206.0,214.4,206.0,211.5,207.35,1868,57924,12286749.0
2022-07-20,2022-07-20,ARE&M,A,480.5,484.0,474.6,475.9,478.3,2333,34442,16505127.0
2022-07-20,2022-07-20,AMBALALSA,X,31.3,31.3,30.5,30.65,30.9,320,91985,2843533.0
2022-07-20,2022-07-20,HDFC,A,2237.0,2252.25,2223.95,2229.4,2217.05,4101,82604,185427954.0
2022-07-20,2022-07-20,ANDHRAPET,B,82.95,85.0,82.85,83.5,81.7,973,123569,10315516.0
2022-07-20,2022-07-20,ANSALAPI,B,18.19,18.74,18.06,18.31,17.85,113,67515,1240426.0
2022-07-20,2022-07-20,UTIQUE,X,5.15,5.3,5.15,5.27,5.19,181,36824,192943.0
2022-07-20,2022-07-20,ARUNAHTEL,X,14.05,14.05,12.8,12.81,13.0,48,2670,34383.0
2022-07-20,2022-07-20,BOMDYEING,A,100.25,103.4,98.95,101.15,98.85,3712,269600,27355080.0
2022-07-20,2022-07-20,ASIANHOTNR,B,82.7,88.7,82.05,84.35,82.3,299,10815,942537.0
2022-07-20,2022-07-20,ATUL,A,8361.9,8470.45,8248.1,8255.9,8399.5,554,873,7311392.0
2022-07-20,2022-07-20,ATVPR,XT,8.8,8.89,8.46,8.75,8.75,30,7064,60760.0
2022-07-20,2022-07-20,BAJAJELEC,A,1145.0,1147.5,1129.35,1133.1,1134.6,844,5199,5921223.0
2022-07-20,2022-07-20,BAJAJHIND,A,12.04,12.26,12.04,12.12,12.02,2221,1628923,19788763.0
2022-07-20,2022-07-20,FORCEMOT,A,1017.55,1043.3,1013.25,1015.7,1002.65,905,3099,3178871.0
2022-07-20,2022-07-20,BAJFINANCE,A,6150.0,6150.0,6038.9,6070.3,6062.5,3567,22090,134747895.0
2022-07-20,2022-07-20,BALRAMCHIN,A,374.9,381.45,371.05,376.6,369.4,2206,73704,27780202.0
2022-07-20,2022-07-20,BANCOINDIA,B,181.3,186.4,179.6,183.3,180.2,3453,51752,9434404.0
2022-07-20,2022-07-20,ABREL,A,801.7,801.7,780.0,781.9,789.05,681,4903,3870641.0
2022-07-20,2022-07-20,BANARISUG,A,2207.85,2247.6,2202.0,2237.25,2190.3,44,110,246327.0
2022-07-20,2022-07-20,BASF,A,2721.8,2750.75,2672.75,2689.75,2717.05,357,904,2445110.0
2022-07-20,2022-07-20,BATAINDIA,A,1831.8,1868.75,1813.95,1819.3,1823.4,1427,8688,15983984.0
2022-07-20,2022-07-20,BEML,A,1339.1,1374.9,1339.05,1347.9,1331.1,1670,13307,18048011.0
2022-07-20,2022-07-20,BEL,A,258.0,258.45,253.0,254.85,255.1,3305,131986,33765871.0
2022-07-20,2022-07-20,BEPL,A,106.8,109.5,106.8,108.2,106.45,571,14847,1612843.0
2022-07-20,2022-07-20,BIHSPONG,XT,8.72,9.1,8.3,9.01,8.72,89,20223,176013.0
2022-07-20,2022-07-20,BIRLACABLE,B,131.15,135.1,128.1,129.05,129.75,627,14339,1900783.0
2022-07-20,2022-07-20,BLUESTARCO,A,1038.0,1038.0,982.0,996.75,1025.95,1301,5896,5935199.0
2022-07-20,2022-07-20,DISAQ,X,6765.95,6765.95,6475.0,6645.0,6643.35,65,210,1385041.0
2022-07-20,2022-07-20,QUESTCAP,X,251.0,251.0,239.5,240.0,240.65,37,1506,362135.0
2022-07-20,2022-07-20,BPL,B,71.75,71.75,67.25,67.65,69.2,243,16668,1135012.0
2022-07-20,2022-07-20,OAL,B,588.0,588.0,550.15,555.55,557.65,77,660,367120.0
2022-07-20,2022-07-20,CENTEXT,B,9.67,9.67,9.4,9.54,9.37,43,10741,101716.0
2022-07-20,2022-07-20,CESC,A,75.5,75.8,74.65,74.8,75.15,1780,62712,4702998.0
2022-07-20,2022-07-20,CHAMBLFERT,A,304.5,318.6,304.5,314.15,303.2,3262,149636,47089279.0
2022-07-20,2022-07-20,EXIDEIND,A,152.8,152.8,149.5,150.35,150.6,1231,59344,8960259.0
2022-07-20,2022-07-20,CIPLA,A,962.55,983.0,960.05,981.6,960.65,2970,44032,42946357.0
2022-07-20,2022-07-20,DICIND,B,369.0,369.0,362.1,363.6,366.5,4,5,1829.0
2022-07-20,2022-07-20,CRISIL,A,3219.0,3279.8,3191.55,3244.6,3217.8,919,2737,8824719.0
2022-07-20,2022-07-20,CGPOWER,B,202.5,206.0,202.05,203.2,202.05,1194,43507,8870087.0
2022-07-20,2022-07-20,DABUR,A,554.4,559.95,550.8,558.5,548.8,1984,39884,22182795.0
2022-07-20,2022-07-20,DALMIASUG,A,361.35,368.95,357.55,358.4,356.8,1559,26777,9720719.0
2022-07-20,2022-07-20,ARVIND,A,89.85,90.5,87.85,88.2,87.8,1318,53010,4722149.0
2022-07-20,2022-07-20,BHEL,A,51.75,51.75,50.55,50.75,51.2,3956,1105404,56428196.0
2022-07-20,2022-07-20,HINDPETRO,A,244.8,244.8,231.15,234.25,240.45,3045,148124,34784815.0
2022-07-20,2022-07-20,IFCI,A,9.57,10.1,9.57,9.77,9.57,1212,1343570,13249936.0
2022-07-20,2022-07-20,MTNL,A,24.7,25.4,24.1,24.45,24.15,2505,753768,18577820.0
2022-07-20,2022-07-20,MRPL,A,76.3,76.3,75.0,76.3,72.7,1332,951101,72491035.0
2022-07-20,2022-07-20,CHENNPETRO,A,285.2,296.4,281.8,285.65,266.1,10464,504542,145489965.0
