TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-10-18,2021-10-18,ABB,A,1828.0,1858.0,1825.95,1829.45,1819.75,1478,10319,19025501.0
2021-10-18,2021-10-18,AEGISLOG,A,229.8,230.3,225.1,226.15,227.3,2662,77552,17684883.0
2021-10-18,2021-10-18,ARE&M,A,767.7,767.7,722.0,726.8,760.15,6102,279093,205627883.0
2021-10-18,2021-10-18,AMBALALSA,X,32.2,32.65,31.5,31.7,32.2,1047,239951,7675332.0
2021-10-18,2021-10-18,HDFC,A,2849.0,2850.0,2788.75,2810.5,2808.65,4090,41905,118015333.0
2021-10-18,2021-10-18,ANDHRAPET,XT,151.95,153.0,146.05,146.9,148.4,1396,234411,34707796.0
2021-10-18,2021-10-18,ANSALAPI,B,10.55,10.96,10.3,10.46,10.5,136,51202,546110.0
2021-10-18,2021-10-18,UTIQUE,X,3.35,3.35,3.0,3.2,3.13,206,67196,214045.0
2021-10-18,2021-10-18,ARUNAHTEL,XT,14.7,15.15,13.95,14.8,14.55,79,19855,294190.0
2021-10-18,2021-10-18,BOMDYEING,A,103.9,107.7,101.15,103.75,103.1,11574,1520397,158292527.0
2021-10-18,2021-10-18,ASIANHOTNR,B,90.0,90.3,88.0,88.15,89.85,105,3595,321221.0
2021-10-18,2021-10-18,ATUL,A,10531.05,10775.9,10531.05,10691.65,10503.2,798,1258,13433790.0
2021-10-18,2021-10-18,ATVPR,XT,11.84,11.84,11.5,11.77,11.28,156,79551,939034.0
2021-10-18,2021-10-18,BAJAJELEC,A,1279.15,1311.5,1273.55,1293.65,1272.7,1747,16812,21855035.0
2021-10-18,2021-10-18,BAJAJHIND,A,15.3,15.3,13.95,14.35,14.65,3235,3098539,44867570.0
2021-10-18,2021-10-18,FORCEMOT,A,1505.0,1610.0,1491.8,1546.0,1503.0,5493,37629,58841667.0
2021-10-18,2021-10-18,BAJFINANCE,A,8020.2,8020.2,7801.9,7865.3,7860.7,3835,25925,203967060.0
2021-10-18,2021-10-18,BALRAMCHIN,A,383.95,398.25,374.5,390.15,378.05,2600,71699,28009775.0
2021-10-18,2021-10-18,BANCOINDIA,B,199.0,199.5,192.35,194.05,195.3,842,19333,3773057.0
2021-10-18,2021-10-18,ABREL,A,976.0,976.9,930.3,936.25,962.4,2419,38569,36684582.0
2021-10-18,2021-10-18,BANARISUG,A,2372.1,2449.0,2365.0,2416.5,2373.0,145,286,684962.0
2021-10-18,2021-10-18,BASF,A,3628.0,3735.0,3623.0,3635.45,3598.65,3592,13487,49533863.0
2021-10-18,2021-10-18,BATAINDIA,A,2120.0,2179.55,2102.5,2121.75,2118.05,3962,80493,171778206.0
2021-10-18,2021-10-18,BEML,A,1658.75,1694.0,1627.0,1637.5,1658.75,4050,32886,54681709.0
2021-10-18,2021-10-18,BEL,A,211.6,221.5,206.65,217.05,210.5,5661,510127,110416593.0
2021-10-18,2021-10-18,BEPL,A,202.7,204.4,196.95,202.0,201.3,5147,261309,52482040.0
2021-10-18,2021-10-18,TATASTLBSL,T,91.1,94.5,91.1,93.1,90.05,4453,541882,50371895.0
2021-10-18,2021-10-18,BIHSPONG,XT,10.0,10.58,9.7,10.5,10.08,316,201403,2125737.0
2021-10-18,2021-10-18,BIRLACABLE,B,97.5,99.0,96.1,98.0,96.75,520,23201,2263814.0
2021-10-18,2021-10-18,BLUESTARCO,A,921.35,924.15,910.0,920.8,914.1,953,4467,4108957.0
2021-10-18,2021-10-18,DISAQ,X,5500.0,5575.0,5401.0,5500.0,5462.3,37,327,1796241.0
2021-10-18,2021-10-18,QUESTCAP,X,368.6,368.65,355.0,359.6,351.1,155,8361,3047180.0
2021-10-18,2021-10-18,BPL,T,137.15,137.15,137.15,137.15,144.35,133,5639,773388.0
2021-10-18,2021-10-18,OAL,B,902.0,920.0,892.05,899.65,904.7,1093,5221,4718542.0
2021-10-18,2021-10-18,CENTEXT,B,9.29,9.5,9.25,9.33,9.24,169,54396,507108.0
2021-10-18,2021-10-18,CESC,A,94.1,99.65,93.2,98.35,93.75,6954,747587,72471448.0
2021-10-18,2021-10-18,CHAMBLFERT,A,383.4,391.25,381.2,385.85,383.4,3828,67057,25852834.0
2021-10-18,2021-10-18,EXIDEIND,A,188.0,189.65,184.3,185.5,186.05,8913,551662,103357708.0
2021-10-18,2021-10-18,CIPLA,A,914.0,914.0,900.0,903.8,911.5,7792,125214,113230176.0
2021-10-18,2021-10-18,DICIND,B,460.1,471.9,455.0,456.5,460.75,132,2328,1085744.0
2021-10-18,2021-10-18,CRISIL,A,3005.0,3044.95,2961.3,2975.25,2978.0,838,2327,6999946.0
2021-10-18,2021-10-18,CGPOWER,T,120.1,124.45,120.1,124.45,118.55,1217,712352,88622091.0
2021-10-18,2021-10-18,DABUR,A,621.1,628.0,612.45,613.95,615.65,6161,292405,180413426.0
2021-10-18,2021-10-18,DALMIASUG,A,479.9,479.9,450.05,451.95,454.0,763,11161,5089666.0
2021-10-18,2021-10-18,ARVIND,A,121.1,134.45,120.6,130.3,120.35,7421,608493,77949367.0
2021-10-18,2021-10-18,BALARPURIND,Z,1.2,1.25,1.16,1.23,1.21,1006,2446785,2947456.0
2021-10-18,2021-10-18,BHEL,A,74.95,77.5,74.1,74.6,74.3,13530,4894783,369982124.0
2021-10-18,2021-10-18,HINDPETRO,A,336.0,339.7,330.5,331.6,331.35,2148,119300,40007242.0
2021-10-18,2021-10-18,IFCI,A,14.0,14.56,14.0,14.11,13.93,20067,1532128,21884502.0
2021-10-18,2021-10-18,MTNL,B,20.35,20.35,19.6,19.65,19.85,560,217927,4340470.0
2021-10-18,2021-10-18,MRPL,A,52.9,52.9,52.05,52.5,51.95,1272,196278,10285210.0
2021-10-18,2021-10-18,CHENNPETRO,A,134.05,140.75,134.05,138.15,134.1,2669,92549,12785906.0
2021-10-18,2021-10-18,RELCAPITAL,T,22.6,22.6,21.8,21.95,22.05,1064,313924,6935641.0
2021-10-18,2021-10-18,SBIN,A,494.4,500.85,491.7,497.85,490.5,12040,758057,376620007.0
2021-10-18,2021-10-18,SAIL,A,126.0,131.75,124.75,129.05,124.2,38783,6130402,783432999.0
2021-10-18,2021-10-18,TITAN,A,2618.0,2678.1,2578.45,2589.0,2563.15,8708,79281,208830480.0
2021-10-18,2021-10-18,IDBI,A,62.4,65.25,58.6,59.65,62.6,19501,6064555,375783919.0
2021-10-18,2021-10-18,DCW,T,53.0,53.9,51.3,52.1,52.4,845,162069,8567532.0
2021-10-18,2021-10-18,DHAMPURSUG,A,335.0,337.95,325.35,330.95,325.6,1587,38454,12779376.0
2021-10-18,2021-10-18,DIAMINESQ,X,290.55,295.0,285.5,286.65,290.35,239,10666,3097069.0
2021-10-18,2021-10-18,ELANTAS,A,3710.05,3869.0,3675.0,3846.7,3713.15,168,1507,5716063.0
2021-10-18,2021-10-18,DRREDDY,A,4960.55,4977.35,4863.55,4873.85,4959.7,3674,17299,84874218.0
2021-10-18,2021-10-18,EIDPARRY,A,490.0,503.8,480.0,494.3,484.8,1931,35529,17540240.0
2021-10-18,2021-10-18,PGHL,A,5605.0,5720.0,5555.0,5565.6,5637.4,1037,2351,13124846.0
2021-10-18,2021-10-18,ELECTCAST,B,37.0,37.25,36.0,37.0,36.3,654,101704,3754388.0
2021-10-18,2021-10-18,ESABINDIA,A,2488.0,2488.0,2428.2,2437.15,2429.2,380,976,2391197.0
2021-10-18,2021-10-18,EPL,A,234.3,234.35,229.1,229.8,231.75,643,11202,2585512.0
2021-10-18,2021-10-18,ESTER,B,147.0,156.8,147.0,150.2,148.45,2636,104450,16089821.0
2021-10-18,2021-10-18,FGP,XT,2.31,2.31,2.31,2.31,2.31,5,2856,6597.0
2021-10-18,2021-10-18,PHCAP,X,69.0,74.15,69.0,74.15,70.75,54,4619,329841.0
2021-10-18,2021-10-18,FINCABLES,A,490.0,504.35,487.3,495.45,490.85,1477,16973,8414790.0
2021-10-18,2021-10-18,COCKERILL,X,998.6,1015.0,950.65,976.3,960.6,75,1867,1826700.0
2021-10-18,2021-10-18,UFLEX,A,628.0,655.7,623.95,628.8,628.95,2216,31060,19902527.0
2021-10-18,2021-10-18,FOSECOIND,B,1495.45,1505.0,1475.0,1481.05,1487.25,94,796,1182730.0
2021-10-18,2021-10-18,GOLDENTOBC,T,154.4,154.4,147.0,154.4,147.05,122,6630,1019796.0
2021-10-18,2021-10-18,GANESHBE,B,91.4,94.7,89.95,91.0,89.55,854,34095,3155414.0
2021-10-18,2021-10-18,METROGLOBL,X,85.0,85.0,81.55,82.75,84.1,54,2362,195681.0
2021-10-18,2021-10-18,GTL,B,15.0,15.0,14.4,14.6,14.9,253,74546,1104020.0
2021-10-18,2021-10-18,GODFRYPHLP,A,1330.35,1350.6,1309.75,1314.25,1330.35,2202,27800,37044846.0
2021-10-18,2021-10-18,GODREJIND,A,571.0,580.1,570.55,577.95,567.9,935,12162,7013487.0
2021-10-18,2021-10-18,KANSAINER,A,612.0,616.2,590.25,598.85,607.65,2345,23632,14282219.0
2021-10-18,2021-10-18,GOODRICKE,X,277.0,278.0,268.05,268.45,274.05,188,11928,3234993.0
2021-10-18,2021-10-18,GOODYEAR,A,1085.5,1085.5,1042.55,1054.9,1061.8,750,4472,4738509.0
2021-10-18,2021-10-18,GTNINDS,X,20.3,20.35,18.85,20.35,19.4,91,33546,663351.0
2021-10-18,2021-10-18,GHCL,A,465.9,473.2,461.35,466.8,458.35,916,23043,10780967.0
2021-10-18,2021-10-18,GFLLIMITED,A,82.0,84.8,80.95,81.45,81.7,346,20513,1688290.0
2021-10-18,2021-10-18,GLFL,B,3.25,3.46,2.9,2.9,3.15,23,19076,59857.0
2021-10-18,2021-10-18,HCL-INSYS,B,14.0,14.39,13.99,14.12,13.94,693,199754,2822259.0
2021-10-18,2021-10-18,HDFCBANK,A,1709.95,1724.3,1666.85,1670.15,1685.9,17225,947940,1606064507.0
2021-10-18,2021-10-18,HEROMOTOCO,A,2950.0,2950.0,2895.85,2905.45,2926.2,1763,11337,33172070.0
2021-10-18,2021-10-18,HFCL,A,82.95,82.95,78.5,78.95,79.0,10843,2562704,208311415.0
2021-10-18,2021-10-18,HSCL,A,50.7,53.2,50.3,51.95,50.65,6371,7005206,359084279.0
2021-10-18,2021-10-18,HCC,A,10.62,11.7,10.62,11.58,10.64,7097,3855506,44087477.0
2021-10-18,2021-10-18,HINDOILEXP,A,195.55,202.7,187.45,190.5,197.1,2431,128356,24977807.0
2021-10-18,2021-10-18,AGI,B,238.0,245.35,228.05,234.05,226.85,1834,44843,10678666.0
2021-10-18,2021-10-18,HINDZINC,A,365.3,407.9,365.0,387.55,346.95,32585,824701,320100934.0
2021-10-18,2021-10-18,NDLVENTURE,B,505.05,509.55,495.0,497.85,508.4,108,671,336727.0
2021-10-18,2021-10-18,HMT,Z,32.0,32.0,30.85,31.0,30.8,50,4980,155691.0
2021-10-18,2021-10-18,PRAGBOS,XT,2.6,2.6,2.5,2.6,2.51,35,10293,26513.0
2021-10-18,2021-10-18,HLVLTD,T,12.49,12.5,12.06,12.27,12.25,225,70909,878543.0
2021-10-18,2021-10-18,IGPL,B,874.5,890.85,850.0,853.55,877.35,1468,11438,9908701.0
