TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-09-16,2021-09-16,ABB,A,1906.5,1941.0,1882.35,1910.6,1903.45,833,4144,7955579.0
2021-09-16,2021-09-16,AEGISLOG,A,245.0,245.0,238.3,238.85,242.05,2077,40323,9721691.0
2021-09-16,2021-09-16,ARE&M,A,745.0,746.15,731.9,738.2,742.05,1590,36702,27054534.0
2021-09-16,2021-09-16,AMBALALSA,X,30.0,30.0,29.4,29.55,29.55,714,168825,4997538.0
2021-09-16,2021-09-16,HDFC,A,2816.0,2824.25,2799.0,2812.6,2815.25,3731,62861,176843249.0
2021-09-16,2021-09-16,ANDHRAPET,XT,155.0,155.0,150.0,151.0,153.05,809,76723,11657340.0
2021-09-16,2021-09-16,ANSALAPI,B,9.26,9.26,8.91,8.94,9.2,111,42348,379865.0
2021-09-16,2021-09-16,UTIQUE,X,2.77,2.82,2.67,2.73,2.76,111,38742,106437.0
2021-09-16,2021-09-16,ARUNAHTEL,XT,15.54,15.54,14.08,14.98,14.82,39,7750,113878.0
2021-09-16,2021-09-16,BOMDYEING,A,96.25,97.3,95.55,96.15,96.2,3991,1018213,98292776.0
2021-09-16,2021-09-16,ASIANHOTNR,B,85.5,87.0,83.2,86.8,85.5,16,230,19814.0
2021-09-16,2021-09-16,ATUL,A,9800.0,9864.05,9653.0,9740.15,9742.85,1132,2940,28655040.0
2021-09-16,2021-09-16,ATVPR,XT,8.5,9.0,8.5,8.67,8.75,70,20797,182306.0
2021-09-16,2021-09-16,BAJAJELEC,A,1420.0,1458.05,1389.6,1442.45,1418.65,3137,29310,41567800.0
2021-09-16,2021-09-16,BAJAJHIND,T,16.4,16.4,15.4,15.61,15.79,1631,649685,10291673.0
2021-09-16,2021-09-16,FORCEMOT,A,1574.2,1574.2,1505.0,1515.35,1552.3,1049,8314,12723000.0
2021-09-16,2021-09-16,BAJFINANCE,A,7411.0,7441.0,7333.0,7410.9,7414.75,6463,42498,313640548.0
2021-09-16,2021-09-16,BALRAMCHIN,A,363.95,366.3,357.35,359.05,357.75,1090,27225,9844306.0
2021-09-16,2021-09-16,BANCOINDIA,B,207.6,217.0,205.75,212.4,207.2,1993,102551,21396885.0
2021-09-16,2021-09-16,ABREL,A,840.1,849.7,831.65,835.35,842.6,744,15062,12622663.0
2021-09-16,2021-09-16,BANARISUG,A,1835.0,2040.0,1815.1,1931.4,1813.1,151,962,1832523.0
2021-09-16,2021-09-16,BASF,A,3480.0,3522.6,3445.0,3467.8,3479.6,887,3458,12020666.0
2021-09-16,2021-09-16,BATAINDIA,A,1838.0,1848.2,1800.0,1805.75,1837.65,1257,12143,22118970.0
2021-09-16,2021-09-16,BEML,A,1478.7,1492.0,1450.95,1455.7,1473.65,1493,15230,22372767.0
2021-09-16,2021-09-16,BEL,A,208.9,209.0,204.8,205.45,207.85,4207,275284,56921965.0
2021-09-16,2021-09-16,BEPL,A,185.5,185.55,180.75,181.6,183.8,1312,52324,9552123.0
2021-09-16,2021-09-16,TATASTLBSL,T,91.6,95.5,91.6,93.1,94.6,3342,258996,24208561.0
2021-09-16,2021-09-16,BIHSPONG,XT,12.4,12.49,11.62,11.78,12.15,203,65550,792366.0
2021-09-16,2021-09-16,BIRLACABLE,T,86.8,86.8,83.9,84.05,86.55,265,18853,1595022.0
2021-09-16,2021-09-16,BLUESTARCO,A,864.05,872.95,850.6,858.4,855.6,841,5342,4604817.0
2021-09-16,2021-09-16,DISAQ,X,5698.95,5700.0,5581.0,5581.25,5650.0,64,362,2043183.0
2021-09-16,2021-09-16,QUESTCAP,X,206.0,213.85,206.0,210.75,206.25,64,5548,1162411.0
2021-09-16,2021-09-16,BPL,T,73.7,73.7,73.7,73.7,70.2,129,15638,1152520.0
2021-09-16,2021-09-16,OAL,B,1026.65,1048.45,986.15,1024.85,1026.6,2476,9721,9904833.0
2021-09-16,2021-09-16,CENTEXT,B,10.0,10.0,9.45,9.56,9.76,175,92509,882496.0
