TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-10-04,2021-10-04,ABB,A,1860.25,1892.0,1846.0,1873.2,1854.95,768,4120,7666507.0
2021-10-04,2021-10-04,AEGISLOG,A,230.25,233.35,228.0,229.35,228.95,2475,54056,12441733.0
2021-10-04,2021-10-04,ARE&M,A,774.5,774.85,762.0,766.15,765.5,2642,63238,48593068.0
2021-10-04,2021-10-04,AMBALALSA,X,30.75,31.0,30.55,30.65,30.65,728,145196,4462266.0
2021-10-04,2021-10-04,HDFC,A,2740.0,2769.0,2721.05,2725.0,2712.25,6175,83389,228666721.0
2021-10-04,2021-10-04,ANDHRAPET,XT,145.9,145.9,139.5,143.05,141.4,1659,207074,29470568.0
2021-10-04,2021-10-04,ANSALAPI,B,8.8,9.15,8.8,9.0,8.99,100,22031,198290.0
2021-10-04,2021-10-04,UTIQUE,X,2.85,2.85,2.7,2.77,2.75,163,45120,124058.0
2021-10-04,2021-10-04,ARUNAHTEL,XT,13.85,14.8,13.85,13.85,14.55,59,6343,88200.0
2021-10-04,2021-10-04,BOMDYEING,A,92.45,94.8,92.45,93.75,92.45,2304,355846,33322621.0
2021-10-04,2021-10-04,ASIANHOTNR,B,91.7,94.4,89.4,90.35,90.7,111,3929,360779.0
2021-10-04,2021-10-04,ATUL,A,9801.0,10188.8,9791.0,10077.4,9746.0,1486,3050,30367440.0
2021-10-04,2021-10-04,ATVPR,XT,8.5,8.64,8.12,8.34,8.3,52,21069,178328.0
2021-10-04,2021-10-04,AUTOLITEI,Z,14.9,15.75,14.6,15.1,15.0,48,10140,157760.0
2021-10-04,2021-10-04,BAJAJELEC,A,1309.45,1340.0,1309.45,1320.9,1306.95,1688,12279,16252495.0
2021-10-04,2021-10-04,BAJAJHIND,T,16.6,16.85,16.4,16.85,16.05,1102,479883,8057669.0
2021-10-04,2021-10-04,FORCEMOT,A,1464.25,1494.25,1457.15,1465.85,1454.05,653,3102,4580766.0
2021-10-04,2021-10-04,BAJFINANCE,A,7600.0,7767.0,7554.75,7694.2,7522.05,5378,34746,267207626.0
2021-10-04,2021-10-04,BALRAMCHIN,A,370.0,395.1,370.0,392.6,366.2,5448,243062,94221366.0
2021-10-04,2021-10-04,BANCOINDIA,B,191.0,197.9,191.0,194.5,193.1,1651,38716,7553732.0
2021-10-04,2021-10-04,ABREL,A,928.95,932.25,917.0,920.95,917.35,1387,29059,26826882.0
2021-10-04,2021-10-04,BANARISUG,A,2260.0,2370.15,2220.35,2308.85,2249.8,417,1015,2359646.0
2021-10-04,2021-10-04,BASF,A,3439.0,3575.0,3439.0,3554.4,3438.7,1029,4024,14171479.0
2021-10-04,2021-10-04,BATAINDIA,A,1850.0,1885.95,1836.05,1871.8,1834.75,5188,54047,100638471.0
2021-10-04,2021-10-04,BEML,A,1426.3,1439.35,1418.0,1429.5,1423.65,919,8868,12685535.0
2021-10-04,2021-10-04,BEL,A,201.9,206.1,201.8,205.75,201.9,5592,794764,161400726.0
