TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2022-03-24,2022-03-24,ABB,A,2020.0,2052.0,1982.3,2040.05,2047.7,1377,12109,24350396.0
2022-03-24,2022-03-24,AEGISLOG,A,201.35,203.8,200.1,201.9,201.7,692,28977,5854843.0
2022-03-24,2022-03-24,ARE&M,A,570.3,576.0,565.2,567.75,577.35,3881,67483,38550864.0
2022-03-24,2022-03-24,AMBALALSA,X,32.95,33.35,32.6,32.85,33.1,433,158829,5234170.0
2022-03-24,2022-03-24,HDFC,A,2321.0,2356.3,2304.95,2310.9,2346.2,6727,61000,141940415.0
2022-03-24,2022-03-24,ANDHRAPET,B,101.0,101.35,99.2,99.85,101.75,1272,151255,15126664.0
2022-03-24,2022-03-24,ANSALAPI,B,15.25,15.25,15.25,15.25,14.55,64,127093,1938168.0
2022-03-24,2022-03-24,UTIQUE,XT,6.06,6.06,6.06,6.06,6.37,226,39661,240345.0
2022-03-24,2022-03-24,ARUNAHTEL,X,9.88,9.88,9.13,9.24,9.47,30,5975,55770.0
2022-03-24,2022-03-24,BOMDYEING,A,99.1,100.2,98.9,99.25,99.0,2006,219576,21864680.0
2022-03-24,2022-03-24,ASIANHOTNR,B,78.05,79.0,77.55,78.25,78.35,27,495,38656.0
2022-03-24,2022-03-24,ATUL,A,9749.8,9934.7,9645.2,9884.8,9683.25,629,1367,13369143.0
2022-03-24,2022-03-24,ATVPR,XT,9.99,9.99,9.4,9.4,9.89,95,29927,281352.0
2022-03-24,2022-03-24,BAJAJELEC,A,1060.15,1083.1,1051.0,1061.7,1060.15,928,5325,5692214.0
2022-03-24,2022-03-24,BAJAJHIND,A,15.08,15.25,14.98,15.02,15.14,997,807578,12183756.0
2022-03-24,2022-03-24,FORCEMOT,A,1048.25,1086.0,1048.25,1078.35,1071.3,1031,4653,5008796.0
2022-03-24,2022-03-24,BAJFINANCE,A,6970.0,7033.8,6883.2,6998.15,6998.15,3134,20824,145449145.0
2022-03-24,2022-03-24,BALRAMCHIN,A,496.85,502.75,487.0,489.7,494.2,2212,81834,40383205.0
2022-03-24,2022-03-24,BANCOINDIA,B,143.55,144.25,139.45,140.15,143.2,572,18188,2571683.0
2022-03-24,2022-03-24,ABREL,A,839.0,870.0,839.0,864.8,833.4,1303,13915,11922900.0
2022-03-24,2022-03-24,BANARISUG,A,2427.5,2427.6,2282.45,2296.75,2398.0,246,971,2271354.0
2022-03-24,2022-03-24,BASF,A,2900.05,2989.0,2900.05,2929.3,2959.9,444,2167,6390908.0
2022-03-24,2022-03-24,BATAINDIA,A,1925.0,1932.0,1911.9,1914.5,1921.7,624,4111,7895960.0
2022-03-24,2022-03-24,BEML,A,1524.1,1541.7,1505.0,1509.45,1534.25,800,6861,10430062.0
2022-03-24,2022-03-24,BEL,A,207.45,209.0,204.2,207.55,207.4,3309,164053,33986943.0
2022-03-24,2022-03-24,BEPL,A,137.65,137.75,132.05,133.05,137.65,1792,109385,14752877.0
2022-03-24,2022-03-24,BIHSPONG,XT,10.8,11.45,10.56,10.89,11.02,116,14651,161598.0
2022-03-24,2022-03-24,BIRLACABLE,B,167.65,171.55,163.4,165.1,165.95,744,34888,5806930.0
2022-03-24,2022-03-24,BLUESTARCO,A,997.15,1002.2,982.0,999.3,992.6,219,2017,2005421.0
2022-03-24,2022-03-24,DISAQ,X,6396.95,6397.0,6025.0,6190.55,6232.4,75,710,4387463.0
2022-03-24,2022-03-24,QUESTCAP,X,279.75,279.75,260.0,268.5,276.0,50,1574,418015.0
2022-03-24,2022-03-24,BPL,B,62.0,66.8,60.3,66.8,60.75,1062,133100,8726677.0
2022-03-24,2022-03-24,OAL,B,766.2,779.65,741.15,750.15,771.1,433,3730,2832981.0
2022-03-24,2022-03-24,CENTEXT,B,11.37,11.89,11.23,11.86,11.33,201,60167,708634.0
2022-03-24,2022-03-24,CESC,A,75.2,75.95,74.95,75.65,75.2,2510,243965,18440908.0
2022-03-24,2022-03-24,CHAMBLFERT,A,417.95,423.75,412.7,415.2,416.55,2961,182100,76450877.0
2022-03-24,2022-03-24,EXIDEIND,A,154.0,155.65,153.5,154.2,154.55,3596,196792,30428894.0
2022-03-24,2022-03-24,CIPLA,A,1015.0,1040.0,1002.05,1029.1,1014.9,3619,55444,56700641.0
2022-03-24,2022-03-24,DICIND,B,361.8,365.0,356.0,357.7,360.65,60,293,105205.0
2022-03-24,2022-03-24,CRISIL,A,3052.8,3099.0,2995.4,3057.45,3053.05,1328,3809,11581728.0
2022-03-24,2022-03-24,CGPOWER,B,179.0,184.75,178.4,183.15,178.55,3161,192200,35056137.0
2022-03-24,2022-03-24,DABUR,A,523.0,530.55,520.0,523.8,523.1,3212,51678,27179592.0
2022-03-24,2022-03-24,DALMIASUG,A,490.35,522.0,490.35,511.0,497.45,2004,28944,14841609.0
2022-03-24,2022-03-24,ARVIND,A,118.1,119.05,112.9,116.4,118.6,1257,69277,8135399.0
2022-03-24,2022-03-24,BALARPURIND,Z,1.13,1.15,1.06,1.07,1.11,731,4966456,5369885.0
2022-03-24,2022-03-24,BHEL,A,51.15,52.0,50.9,51.35,51.25,5418,1916163,98514915.0
2022-03-24,2022-03-24,HINDPETRO,A,283.0,283.0,272.85,275.1,284.55,4913,447948,124055107.0
2022-03-24,2022-03-24,IFCI,A,11.9,12.05,11.82,11.86,11.89,849,1161541,13829520.0
2022-03-24,2022-03-24,MTNL,A,23.7,23.7,22.85,22.95,23.25,671,219136,5079923.0
2022-03-24,2022-03-24,MRPL,A,42.45,43.0,42.1,42.15,42.45,779,146852,6235897.0
2022-03-24,2022-03-24,CHENNPETRO,A,128.0,133.0,128.0,130.6,127.9,1768,85556,11244418.0
2022-03-24,2022-03-24,RELCAPITAL,B,13.7,14.1,13.62,13.89,14.26,1627,607932,8401904.0
2022-03-24,2022-03-24,SBIN,A,485.5,494.7,483.85,487.0,490.65,16205,810390,396607944.0
2022-03-24,2022-03-24,SAIL,A,102.7,104.9,102.6,103.95,103.1,14710,3198807,332241217.0
2022-03-24,2022-03-24,TITAN,A,2699.0,2699.0,2612.55,2618.7,2689.4,3872,40600,107003104.0
2022-03-24,2022-03-24,IDBI,A,44.6,45.9,44.45,45.15,44.8,2431,712902,32225211.0
2022-03-24,2022-03-24,DCW,B,42.45,43.35,42.05,42.15,42.95,1373,132399,5631669.0
2022-03-24,2022-03-24,DHAMPURSUG,A,532.3,561.7,532.3,545.45,532.3,3372,44031,24057259.0
