TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2020-12-21,2020-12-21,ABB,A,1232.0,1245.0,1171.05,1214.25,1245.8,1354,91624,112314042.0
2020-12-21,2020-12-21,AEGISLOG,A,245.9,247.5,228.0,236.25,245.6,1087,20973,5037234.0
2020-12-21,2020-12-21,ARE&M,A,955.9,955.9,891.65,908.5,955.45,1714,29377,27197776.0
2020-12-21,2020-12-21,AMBALALSA,X,20.85,21.4,19.5,19.7,20.25,230,86065,1758461.0
2020-12-21,2020-12-21,HDFC,A,2462.1,2478.1,2369.7,2412.15,2478.95,6998,97429,238078471.0
2020-12-21,2020-12-21,ANDHRAPET,X,49.0,49.5,45.65,45.7,48.05,450,167163,7864614.0
2020-12-21,2020-12-21,ANSALAPI,T,8.34,8.34,7.8,8.17,7.95,214,225541,1877141.0
2020-12-21,2020-12-21,UTIQUE,X,1.78,1.78,1.46,1.62,1.62,7,1310,2295.0
2020-12-21,2020-12-21,ARUNAHTEL,XT,8.03,8.03,7.63,8.03,8.03,6,3627,27675.0
2020-12-21,2020-12-21,BOMDYEING,A,78.5,78.7,68.6,71.55,78.9,5617,648509,48052228.0
2020-12-21,2020-12-21,ASIANHOTNR,B,74.8,77.0,67.6,72.6,76.0,223,12487,918659.0
2020-12-21,2020-12-21,ATUL,A,6287.0,6299.0,6030.0,6138.85,6287.0,939,3102,19254652.0
2020-12-21,2020-12-21,ATVPR,XT,5.54,5.55,5.04,5.08,5.29,69,25332,132429.0
2020-12-21,2020-12-21,AUTOLITEI,B,23.4,26.0,22.95,23.05,23.1,326,16899,419580.0
2020-12-21,2020-12-21,BAJAJELEC,A,638.0,648.0,526.8,601.25,632.75,2311,52027,31863041.0
2020-12-21,2020-12-21,BAJAJHIND,A,6.0,6.21,5.5,5.7,6.31,2547,1298038,7737474.0
2020-12-21,2020-12-21,FORCEMOT,A,1385.0,1395.85,1263.0,1291.1,1395.85,1178,9223,12327437.0
2020-12-21,2020-12-21,BAJFINANCE,A,5233.0,5233.05,4907.2,5042.6,5252.05,12927,525667,2699095073.0
2020-12-21,2020-12-21,BALRAMCHIN,A,175.0,176.4,157.0,161.45,173.75,1458,109039,18418043.0
2020-12-21,2020-12-21,BANCOINDIA,B,136.5,139.7,120.2,124.85,136.3,1665,79557,10297718.0
2020-12-21,2020-12-21,ABREL,A,392.0,394.75,356.95,366.35,396.4,3304,108349,40908504.0
2020-12-21,2020-12-21,BANARISUG,A,1450.0,1466.05,1450.0,1450.0,1450.0,13,196,284264.0
2020-12-21,2020-12-21,BASF,A,1605.0,1650.0,1480.0,1522.35,1627.85,1018,5754,8881327.0
2020-12-21,2020-12-21,BATAINDIA,A,1586.8,1586.8,1467.5,1503.05,1583.2,3312,38543,59357837.0
2020-12-21,2020-12-21,BEML,A,917.35,938.0,830.05,849.35,917.35,3411,68375,60477111.0
2020-12-21,2020-12-21,BEL,A,121.8,123.2,109.15,111.95,121.2,8052,1699472,197841087.0
2020-12-21,2020-12-21,BEPL,A,140.0,146.0,125.1,128.05,138.05,3260,146984,19765619.0
2020-12-21,2020-12-21,TATASTLBSL,B,38.5,38.5,35.7,36.25,38.85,958,276980,10332088.0
2020-12-21,2020-12-21,BIHSPONG,XT,1.6,1.62,1.59,1.62,1.62,32,76700,123357.0
2020-12-21,2020-12-21,BIRLACABLE,B,57.4,57.6,51.25,53.0,56.5,176,12829,709592.0
2020-12-21,2020-12-21,BLUESTARCO,A,775.0,785.0,769.35,778.05,776.75,1378,11302,8789178.0
2020-12-21,2020-12-21,DISAQ,X,3990.05,4112.0,3800.0,3945.2,4008.65,65,290,1157500.0
2020-12-21,2020-12-21,QUESTCAP,X,97.0,102.75,96.0,99.45,98.35,145,45049,4491567.0
2020-12-21,2020-12-21,BPL,B,23.15,23.25,21.8,21.8,22.9,217,16034,362998.0
2020-12-21,2020-12-21,OAL,B,535.1,535.65,491.5,500.1,536.75,617,5370,2742713.0
2020-12-21,2020-12-21,CENTEXT,T,5.46,5.46,5.14,5.14,5.41,63,44261,231109.0
2020-12-21,2020-12-21,CESC,A,603.0,616.45,570.0,580.7,608.1,1842,25704,15221648.0
2020-12-21,2020-12-21,CHAMBLFERT,A,220.45,231.0,217.9,221.8,224.15,2851,137766,30953306.0
2020-12-21,2020-12-21,EXIDEIND,A,193.4,193.4,174.85,181.45,190.25,3135,221280,41072263.0
2020-12-21,2020-12-21,CIPLA,A,791.9,816.75,760.0,778.05,793.9,21079,738644,589576721.0
2020-12-21,2020-12-21,DICIND,B,389.1,398.95,380.35,381.3,389.9,82,575,221711.0
2020-12-21,2020-12-21,CRISIL,A,1910.0,1927.0,1873.85,1898.1,1900.35,1268,4558,8705014.0
2020-12-21,2020-12-21,CGPOWER,B,42.1,42.75,39.95,39.95,42.05,3049,793726,32635630.0
2020-12-21,2020-12-21,DABUR,A,510.0,515.0,494.4,503.65,509.15,4599,174940,89216532.0
2020-12-21,2020-12-21,DALMIASUG,A,144.55,147.25,131.0,134.7,143.5,902,32041,4457027.0
2020-12-21,2020-12-21,ARVIND,A,49.0,49.7,43.6,44.65,50.1,4303,663786,31484128.0
2020-12-21,2020-12-21,BALARPURIND,Z,1.63,1.63,1.49,1.49,1.56,1343,6911561,11138545.0
2020-12-21,2020-12-21,BHEL,A,35.4,35.7,32.0,32.6,35.85,14406,6684341,225671997.0
2020-12-21,2020-12-21,HINDPETRO,A,225.0,225.0,204.95,209.45,223.9,3846,296299,63657131.0
2020-12-21,2020-12-21,IFCI,A,8.95,9.8,8.7,8.89,8.98,42451,2807722,25954896.0
2020-12-21,2020-12-21,MTNL,B,14.4,15.58,13.5,14.48,12.99,10322,5410257,80018147.0
2020-12-21,2020-12-21,MRPL,A,34.55,34.9,30.95,32.55,35.0,2086,450321,15004787.0
2020-12-21,2020-12-21,CHENNPETRO,A,111.0,111.0,91.45,93.85,109.05,5179,409647,40131607.0
2020-12-21,2020-12-21,RELCAPITAL,T,11.92,12.49,11.92,11.92,12.54,1081,514413,6206211.0
2020-12-21,2020-12-21,SBIN,A,267.3,269.0,251.1,254.6,271.4,17513,2450581,638778190.0
2020-12-21,2020-12-21,SAIL,A,57.0,59.2,54.6,55.45,57.8,6495,3323370,191803648.0
2020-12-21,2020-12-21,TITAN,A,1505.35,1528.65,1450.15,1469.45,1520.15,7975,119683,179344348.0
2020-12-21,2020-12-21,IDBI,A,40.55,41.7,37.2,38.1,40.5,2795,520579,20425439.0
2020-12-21,2020-12-21,DCW,B,20.5,20.5,18.41,18.71,20.53,1089,366069,7097661.0
2020-12-21,2020-12-21,DHAMPURSUG,A,177.5,178.0,156.9,162.05,176.65,2022,101780,16969614.0
2020-12-21,2020-12-21,DIAMINESQ,X,337.0,343.0,313.2,319.8,346.15,714,22643,7524572.0
2020-12-21,2020-12-21,ELANTAS,A,2702.0,2800.0,2600.0,2620.65,2753.35,159,1519,4099224.0
2020-12-21,2020-12-21,DRREDDY,A,5220.0,5273.95,4961.55,5065.65,5230.15,10875,85954,443277937.0
2020-12-21,2020-12-21,EIDPARRY,A,332.8,339.8,313.0,317.15,337.9,1923,49021,15916362.0
2020-12-21,2020-12-21,PGHL,A,6670.0,6898.0,6495.0,6593.05,6847.3,757,2470,16491582.0
2020-12-21,2020-12-21,ELECTCAST,B,25.4,25.4,21.2,21.45,22.5,1676,491054,11696861.0
2020-12-21,2020-12-21,ESABINDIA,A,1903.2,1945.5,1710.0,1748.85,1903.2,441,1583,2842477.0
2020-12-21,2020-12-21,EPL,A,259.0,264.9,245.55,253.75,260.75,1585,31011,7945059.0
2020-12-21,2020-12-21,ESTER,B,121.9,121.9,100.0,109.35,122.3,2419,125077,14252386.0
2020-12-21,2020-12-21,FGP,X,0.86,0.86,0.86,0.86,0.82,2,3105,2670.0
2020-12-21,2020-12-21,PHCAP,X,21.94,21.94,21.94,21.94,20.9,1,20,438.0
2020-12-21,2020-12-21,FINCABLES,A,357.55,357.55,319.7,335.9,357.3,924,19069,6497050.0
2020-12-21,2020-12-21,COCKERILL,X,753.5,785.0,745.0,775.75,775.0,245,4074,3129233.0
2020-12-21,2020-12-21,UFLEX,A,385.0,389.5,350.05,354.9,386.1,638,14044,5219186.0
2020-12-21,2020-12-21,FOSECOIND,B,1296.0,1390.25,1278.0,1294.2,1255.35,699,3308,4390828.0
2020-12-21,2020-12-21,GOLDENTOBC,B,58.0,60.0,51.75,56.1,55.2,652,43066,2477348.0
2020-12-21,2020-12-21,GANESHBE,X,61.8,62.4,56.0,58.05,61.4,393,53170,3218391.0
2020-12-21,2020-12-21,GARDENSILK,B,13.2,14.19,13.1,13.1,13.78,149,21766,292115.0
2020-12-21,2020-12-21,METROGLOBL,X,54.95,54.95,49.0,50.9,52.75,95,8719,452403.0
2020-12-21,2020-12-21,GTL,B,5.0,5.1,5.0,5.0,5.26,37,23854,119280.0
2020-12-21,2020-12-21,GODFRYPHLP,A,991.0,999.2,921.15,932.15,990.25,897,7355,7090997.0
2020-12-21,2020-12-21,GODREJIND,A,448.0,450.0,414.7,421.65,448.45,2850,1034143,464669751.0
2020-12-21,2020-12-21,KANSAINER,A,555.55,560.0,542.85,556.3,555.55,832,15655,8640710.0
2020-12-21,2020-12-21,GOODRICKE,X,262.9,262.9,241.0,244.05,258.6,205,10395,2590040.0
2020-12-21,2020-12-21,GOODYEAR,A,969.0,989.8,899.7,920.8,970.75,1232,10000,9535836.0
2020-12-21,2020-12-21,GTNINDS,T,11.75,11.9,11.75,11.75,12.36,3,600,7065.0
2020-12-21,2020-12-21,GHCL,A,198.0,203.6,181.0,188.0,198.95,1795,54516,10562213.0
2020-12-21,2020-12-21,GFLLIMITED,A,90.45,93.0,81.65,84.15,90.9,250,4732,417157.0
2020-12-21,2020-12-21,GLFL,B,2.56,2.56,2.43,2.43,2.55,10,1501,3754.0
2020-12-21,2020-12-21,HCL-INSYS,B,9.21,9.21,8.35,8.37,8.78,175,68768,597828.0
2020-12-21,2020-12-21,HDFCBANK,A,1414.5,1423.8,1366.3,1372.4,1411.25,12776,450628,631878004.0
2020-12-21,2020-12-21,HEROMOTOCO,A,3143.0,3153.15,2945.9,2992.35,3135.1,5134,53773,164888633.0
2020-12-21,2020-12-21,HFCL,A,24.3,26.5,21.45,22.9,24.3,7166,3832331,94703799.0
2020-12-21,2020-12-21,HSCL,A,44.1,44.6,40.1,41.0,44.85,4558,990105,42091360.0
2020-12-21,2020-12-21,HCC,A,8.66,9.5,8.01,8.25,8.66,5193,3418533,30332976.0
2020-12-21,2020-12-21,HINDOILEXP,A,92.0,93.7,82.15,85.5,93.55,1810,87854,7767791.0
2020-12-21,2020-12-21,AGI,B,104.0,106.9,95.0,100.8,103.85,695,26669,2759830.0
