TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2020-03-04,2020-03-04,ABB,B,1175.0,1210.15,1152.1,1169.6,1163.6,671,6282,7292104.0
2020-03-04,2020-03-04,AEGISLOG,A,217.65,217.65,200.0,208.5,214.6,827,14933,3095576.0
2020-03-04,2020-03-04,ARE&M,A,646.0,646.0,621.45,636.95,644.95,919,17713,11192096.0
2020-03-04,2020-03-04,AMBALALSA,X,17.0,17.8,16.3,16.75,17.0,139,51475,863259.0
2020-03-04,2020-03-04,HDFC,A,2195.0,2216.9,2181.5,2204.6,2193.6,5481,242007,531306196.0
2020-03-04,2020-03-04,ANDHRAPET,Z,24.65,25.8,24.6,25.75,24.6,120,38668,981360.0
2020-03-04,2020-03-04,ANSALAPI,B,5.59,5.59,5.51,5.51,5.8,9,3350,18517.0
2020-03-04,2020-03-04,UTIQUE,X,1.65,1.65,1.57,1.65,1.65,7,10224,16219.0
2020-03-04,2020-03-04,ARUNAHTEL,XT,7.22,7.22,7.22,7.22,7.58,2,101,729.0
2020-03-04,2020-03-04,BOMDYEING,A,72.1,72.85,68.5,70.0,72.8,1998,208739,14724468.0
2020-03-04,2020-03-04,ASIANHOTNR,B,77.9,77.9,70.15,70.15,70.0,4,189,13707.0
2020-03-04,2020-03-04,ATUL,A,5400.0,5400.0,4922.95,5038.8,5357.85,1766,6324,32230808.0
2020-03-04,2020-03-04,ATVPR,XT,3.25,3.25,3.25,3.25,3.42,12,5205,16916.0
2020-03-04,2020-03-04,AUTOLITEI,B,17.75,20.0,17.75,19.5,18.4,5,33,653.0
2020-03-04,2020-03-04,BAJAJELEC,A,420.0,421.9,397.35,407.65,414.2,680,6399,2598885.0
2020-03-04,2020-03-04,BAJAJHIND,B,4.65,4.65,4.14,4.2,4.48,472,367066,1572740.0
2020-03-04,2020-03-04,FORCEMOT,A,1085.5,1090.0,1018.9,1043.05,1084.0,1726,5679,5963848.0
2020-03-04,2020-03-04,BAJFINANCE,A,4464.1,4495.55,4226.4,4287.05,4456.0,7463,78488,340424342.0
2020-03-04,2020-03-04,BALRAMCHIN,A,143.15,144.1,124.45,139.7,143.0,2450,109375,14768513.0
2020-03-04,2020-03-04,BANCOINDIA,B,83.1,85.05,82.2,82.6,83.1,181,7665,635653.0
2020-03-04,2020-03-04,ABREL,A,527.0,535.45,485.5,500.95,529.7,2888,113042,57510154.0
2020-03-04,2020-03-04,BANARISUG,B,1247.25,1247.25,1125.1,1190.25,1204.05,25,58,68883.0
2020-03-04,2020-03-04,BASF,A,1025.0,1167.65,1009.7,1147.9,1014.75,10229,85842,95723331.0
