TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-11-17,2021-11-17,ABB,A,2169.0,2209.95,2157.5,2192.95,2176.4,972,24028,52628453.0
2021-11-17,2021-11-17,AEGISLOG,A,202.05,204.45,200.95,202.6,201.7,2054,68850,13998547.0
2021-11-17,2021-11-17,ARE&M,A,676.0,676.0,664.6,666.0,675.05,2628,51859,34700067.0
2021-11-17,2021-11-17,AMBALALSA,X,30.45,30.45,28.9,29.45,29.95,812,243706,7185726.0
2021-11-17,2021-11-17,HDFC,A,2962.3,2976.0,2933.0,2946.85,2975.15,2729,24694,72883891.0
2021-11-17,2021-11-17,ANDHRAPET,X,139.5,140.85,134.85,135.45,139.1,2391,268339,36615801.0
2021-11-17,2021-11-17,ANSALAPI,T,12.99,13.0,12.1,12.21,12.72,116,46990,583446.0
2021-11-17,2021-11-17,UTIQUE,X,3.38,3.38,3.15,3.17,3.17,143,29769,95502.0
2021-11-17,2021-11-17,ARUNAHTEL,XT,9.4,9.4,9.4,9.4,9.85,57,14454,135867.0
2021-11-17,2021-11-17,BOMDYEING,A,94.1,96.15,93.8,94.1,94.3,3739,548015,51957669.0
2021-11-17,2021-11-17,ASIANHOTNR,B,80.4,83.45,80.0,80.9,82.9,84,3264,264135.0
2021-11-17,2021-11-17,ATUL,A,8826.3,9137.0,8771.2,9046.05,8786.75,709,1396,12555724.0
2021-11-17,2021-11-17,ATVPR,XT,11.59,12.07,11.03,11.27,11.59,80,36497,413616.0
2021-11-17,2021-11-17,BAJAJELEC,A,1145.1,1154.8,1102.85,1117.45,1144.75,1146,9882,11226911.0
2021-11-17,2021-11-17,BAJAJHIND,T,13.94,13.94,13.4,13.55,13.78,1748,461636,6293217.0
2021-11-17,2021-11-17,FORCEMOT,A,1686.0,1708.65,1588.0,1625.35,1669.9,1876,12642,21011277.0
2021-11-17,2021-11-17,BAJFINANCE,A,7540.0,7689.95,7524.0,7603.5,7557.85,6148,34644,264462549.0
2021-11-17,2021-11-17,BALRAMCHIN,A,334.4,337.4,324.6,327.05,330.55,1081,73343,24437712.0
2021-11-17,2021-11-17,BANCOINDIA,B,192.45,193.85,185.55,186.4,191.15,604,11802,2242815.0
2021-11-17,2021-11-17,ABREL,A,844.95,854.8,815.4,817.65,846.4,1365,19513,16238523.0
2021-11-17,2021-11-17,BANARISUG,A,2422.15,2425.0,2302.55,2343.9,2399.2,31,135,318883.0
2021-11-17,2021-11-17,BASF,A,2901.75,2921.5,2875.4,2889.25,2901.7,344,1145,3318125.0
2021-11-17,2021-11-17,BATAINDIA,A,2201.1,2242.3,2169.45,2173.6,2200.95,2622,82754,180696999.0
2021-11-17,2021-11-17,BEML,A,1602.3,1665.45,1601.25,1644.65,1607.75,2389,24192,39695985.0
2021-11-17,2021-11-17,BEL,A,217.25,217.65,213.0,215.15,218.15,3013,203372,43818656.0
2021-11-17,2021-11-17,BEPL,A,177.85,178.2,176.0,176.2,177.7,959,62827,11140006.0
2021-11-17,2021-11-17,BIHSPONG,XT,9.4,9.4,8.65,8.8,9.06,179,44622,404648.0
2021-11-17,2021-11-17,BIRLACABLE,B,85.85,85.85,83.6,83.75,85.9,160,5868,495555.0
2021-11-17,2021-11-17,BLUESTARCO,A,1035.4,1039.95,998.9,1003.6,1032.25,580,4181,4230866.0
2021-11-17,2021-11-17,DISAQ,X,5652.0,5877.0,5550.0,5596.65,5709.55,88,973,5589209.0
2021-11-17,2021-11-17,QUESTCAP,X,265.0,278.9,258.0,262.0,271.5,104,3718,976736.0
2021-11-17,2021-11-17,BPL,T,74.1,75.9,72.55,72.55,76.35,729,37946,2771923.0
2021-11-17,2021-11-17,OAL,B,774.05,797.9,773.0,783.1,786.6,650,2308,1809340.0
2021-11-17,2021-11-17,CENTEXT,B,8.58,8.75,8.58,8.62,8.74,90,22028,190321.0
2021-11-17,2021-11-17,CESC,A,90.0,91.0,88.8,89.15,90.0,2495,335474,30241090.0
2021-11-17,2021-11-17,CHAMBLFERT,A,376.1,376.9,352.1,355.95,376.1,2719,111720,40610383.0
2021-11-17,2021-11-17,EXIDEIND,A,180.3,180.5,177.05,177.45,180.6,4783,225631,40331007.0
2021-11-17,2021-11-17,CIPLA,A,924.95,924.95,901.1,905.05,921.05,1516,32530,29594923.0
2021-11-17,2021-11-17,DICIND,B,419.0,419.75,400.0,407.1,409.55,63,665,269685.0
2021-11-17,2021-11-17,CRISIL,A,3260.0,3496.0,3260.0,3392.25,3292.4,3372,16219,55541025.0
2021-11-17,2021-11-17,CGPOWER,T,159.5,159.5,155.0,155.7,156.65,418,35165,5517034.0
2021-11-17,2021-11-17,DABUR,A,610.0,611.0,606.0,607.15,610.0,2229,55404,33682471.0
2021-11-17,2021-11-17,DALMIASUG,A,395.0,407.35,392.0,395.15,398.25,1163,10396,4147206.0
2021-11-17,2021-11-17,ARVIND,A,128.0,132.55,127.3,131.0,128.25,2193,139382,18098794.0
2021-11-17,2021-11-17,BALARPURIND,Z,1.05,1.05,1.01,1.02,1.04,711,5809698,5960325.0
2021-11-17,2021-11-17,BHEL,A,63.3,64.9,63.3,64.0,63.75,8769,2389754,153820062.0
2021-11-17,2021-11-17,HINDPETRO,A,338.85,338.85,325.2,325.85,337.55,4006,908180,300346399.0
2021-11-17,2021-11-17,IFCI,A,13.07,13.23,12.69,12.84,13.05,5687,742034,9641417.0
2021-11-17,2021-11-17,MTNL,B,18.0,18.1,17.8,18.0,17.95,450,92909,1671079.0
2021-11-17,2021-11-17,MRPL,A,48.15,48.5,47.0,47.3,48.15,1022,103561,4952509.0
2021-11-17,2021-11-17,CHENNPETRO,A,113.55,114.7,113.0,113.4,114.35,841,22734,2585869.0
2021-11-17,2021-11-17,RELCAPITAL,T,18.4,18.5,18.0,18.0,18.45,556,112206,2039234.0
2021-11-17,2021-11-17,SBIN,A,494.5,505.25,490.95,498.15,495.0,14533,802235,401397335.0
