TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2020-03-06,2020-03-06,ABB,B,1160.0,1225.8,1156.25,1193.9,1180.35,383,1955,2290837.0
2020-03-06,2020-03-06,AEGISLOG,A,200.0,218.75,198.45,212.75,209.95,918,10303,2163245.0
2020-03-06,2020-03-06,ARE&M,A,622.5,638.15,601.85,634.5,629.55,743,14771,9190156.0
2020-03-06,2020-03-06,AMBALALSA,X,16.25,17.1,15.9,16.8,16.55,171,73616,1199448.0
2020-03-06,2020-03-06,HDFC,A,2155.0,2155.0,2092.55,2109.55,2195.1,9698,473992,1000592904.0
2020-03-06,2020-03-06,ANDHRAPET,Z,25.2,26.6,24.45,24.65,25.7,107,21299,530708.0
2020-03-06,2020-03-06,ANSALAPI,B,4.99,5.35,4.98,5.3,5.24,73,44716,236049.0
2020-03-06,2020-03-06,UTIQUE,X,1.65,1.65,1.65,1.65,1.65,3,120,198.0
2020-03-06,2020-03-06,ARUNAHTEL,XT,7.87,7.87,7.13,7.13,7.5,31,398,2895.0
2020-03-06,2020-03-06,BOMDYEING,A,67.7,67.7,65.65,67.05,70.05,1937,249352,16675946.0
2020-03-06,2020-03-06,ASIANHOTNR,B,65.0,70.0,62.45,64.7,70.15,47,101965,6693340.0
2020-03-06,2020-03-06,ATUL,A,5000.05,5176.75,4958.05,5066.75,5072.95,553,1134,5744454.0
2020-03-06,2020-03-06,ATVPR,XT,3.11,3.26,2.96,3.15,3.11,19,28398,86370.0
2020-03-06,2020-03-06,AUTOLITEI,B,18.1,18.1,16.5,17.2,17.9,12,285,4905.0
2020-03-06,2020-03-06,BAJAJELEC,A,397.0,410.0,385.0,407.15,404.0,954,6420,2556476.0
2020-03-06,2020-03-06,BAJAJHIND,B,3.88,3.88,3.4,3.58,4.05,749,689099,2462169.0
2020-03-06,2020-03-06,FORCEMOT,A,1048.4,1048.4,985.6,1004.6,1048.4,1332,9297,9325463.0
2020-03-06,2020-03-06,BAJFINANCE,A,4144.0,4238.55,4039.0,4226.6,4335.6,15109,138134,572000501.0
2020-03-06,2020-03-06,BALRAMCHIN,A,131.25,134.45,127.6,132.7,136.05,1480,71461,9350917.0
2020-03-06,2020-03-06,BANCOINDIA,B,82.6,84.5,81.4,83.95,84.1,108,5419,448232.0
2020-03-06,2020-03-06,ABREL,A,499.0,516.0,485.4,510.15,510.05,1379,46222,23347627.0
2020-03-06,2020-03-06,BANARISUG,B,1260.05,1260.05,1117.95,1139.25,1155.75,11,16,18135.0
2020-03-06,2020-03-06,BASF,A,1185.0,1196.6,1115.5,1133.55,1205.95,3268,25181,29166961.0
2020-03-06,2020-03-06,BATAINDIA,A,1609.9,1609.9,1536.0,1548.25,1612.1,1868,24917,38822535.0
2020-03-06,2020-03-06,BEML,A,689.0,689.0,654.0,667.05,698.6,1697,63508,42544747.0
2020-03-06,2020-03-06,BEL,A,70.5,72.15,69.15,71.5,73.05,1708,583392,41676526.0
2020-03-06,2020-03-06,BEPL,B,38.0,38.0,35.0,35.35,38.6,757,80078,2895207.0
2020-03-06,2020-03-06,TATASTLBSL,B,22.95,22.95,21.95,22.05,23.6,320,104430,2317429.0
2020-03-06,2020-03-06,BIHSPONG,XT,0.55,0.55,0.51,0.51,0.53,6,360,184.0
2020-03-06,2020-03-06,BIRLACABLE,B,41.0,43.1,41.0,42.15,44.5,112,6967,292920.0
2020-03-06,2020-03-06,BLUESTARCO,A,788.0,792.05,765.65,782.6,792.55,613,27448,21410721.0
2020-03-06,2020-03-06,DISAQ,X,4300.0,4390.0,4275.0,4303.7,4425.0,28,73,315449.0
2020-03-06,2020-03-06,QUESTCAP,X,61.9,64.75,60.1,60.1,61.7,14,3551,228971.0
2020-03-06,2020-03-06,BPL,B,15.2,15.6,14.85,15.2,16.25,107,8504,129554.0
2020-03-06,2020-03-06,OAL,B,180.0,180.0,171.05,178.0,183.65,66,333,58628.0
2020-03-06,2020-03-06,CENTEXT,B,2.24,2.3,2.11,2.2,2.3,8,5745,12722.0
2020-03-06,2020-03-06,CESC,A,609.0,609.0,587.55,594.0,619.5,612,11465,6801481.0
2020-03-06,2020-03-06,CHAMBLFERT,A,135.0,135.0,128.8,130.0,134.5,751,17933,2330902.0
