TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-07-30,2021-07-30,ABB,A,1689.95,1723.0,1687.65,1699.35,1683.8,704,3059,5234811.0
2021-07-30,2021-07-30,AEGISLOG,A,324.0,326.0,315.95,318.95,320.7,2786,100641,32343569.0
2021-07-30,2021-07-30,ARE&M,A,693.0,722.0,693.0,719.95,694.95,8438,138859,98955316.0
2021-07-30,2021-07-30,AMBALALSA,X,29.6,31.0,29.1,31.0,29.55,1071,235856,7199484.0
2021-07-30,2021-07-30,HDFC,A,2416.0,2464.2,2416.0,2440.75,2413.85,2494,42088,102911404.0
2021-07-30,2021-07-30,ANDHRAPET,XT,168.0,172.1,164.0,171.25,163.95,2119,306606,51816518.0
2021-07-30,2021-07-30,ANSALAPI,B,9.16,9.25,8.9,8.97,9.1,36,13850,124297.0
2021-07-30,2021-07-30,UTIQUE,X,3.7,3.81,3.47,3.51,3.65,77,30927,110451.0
2021-07-30,2021-07-30,ARUNAHTEL,XT,18.97,18.97,17.17,18.94,18.07,68,6023,113375.0
2021-07-30,2021-07-30,BOMDYEING,A,105.75,108.15,103.6,104.5,106.4,4843,630637,66881653.0
2021-07-30,2021-07-30,ASIANHOTNR,B,91.4,91.95,90.1,91.1,91.75,27,1336,121219.0
2021-07-30,2021-07-30,ATUL,A,9168.0,9223.45,8993.2,9036.2,9104.25,570,1480,13424991.0
2021-07-30,2021-07-30,ATVPR,XT,10.37,10.8,10.09,10.3,10.37,85,18897,195977.0
2021-07-30,2021-07-30,BAJAJELEC,A,1141.65,1157.7,1130.85,1152.9,1142.7,1522,10161,11681507.0
2021-07-30,2021-07-30,BAJAJHIND,T,19.35,19.5,18.65,18.95,19.15,2270,639645,12295899.0
2021-07-30,2021-07-30,FORCEMOT,A,1503.2,1536.15,1487.3,1497.9,1503.2,1246,12374,18697190.0
2021-07-30,2021-07-30,BAJFINANCE,A,6405.0,6405.05,6211.8,6228.9,6394.3,5106,31953,200854684.0
2021-07-30,2021-07-30,BALRAMCHIN,A,373.1,385.0,370.5,381.4,375.1,6215,159920,60210142.0
2021-07-30,2021-07-30,BANCOINDIA,B,165.35,175.9,164.3,171.05,164.0,2038,67426,11545391.0
2021-07-30,2021-07-30,ABREL,A,775.7,808.4,767.15,798.95,770.3,7099,149711,118767527.0
2021-07-30,2021-07-30,BANARISUG,A,1800.65,1836.5,1787.55,1800.6,1822.75,35,297,543169.0
2021-07-30,2021-07-30,BASF,A,2875.0,2922.0,2845.55,2866.5,2825.75,615,1982,5700826.0
2021-07-30,2021-07-30,BATAINDIA,A,1620.0,1639.0,1613.2,1618.7,1612.55,3487,33601,54613003.0
2021-07-30,2021-07-30,BEML,A,1286.25,1312.55,1281.0,1301.9,1281.8,1379,12181,15808136.0
2021-07-30,2021-07-30,BEL,A,189.75,189.75,182.6,184.7,188.6,3822,521982,96726511.0
2021-07-30,2021-07-30,BEPL,A,185.8,193.5,185.35,187.6,185.45,4723,353245,67235406.0
2021-07-30,2021-07-30,TATASTLBSL,B,96.95,98.15,94.8,95.25,96.8,5878,771763,74473211.0
2021-07-30,2021-07-30,BIHSPONG,XT,9.27,9.28,8.4,9.28,8.84,142,73535,677685.0
2021-07-30,2021-07-30,BIRLACABLE,T,108.1,108.3,105.2,106.3,106.7,108,7273,775501.0
2021-07-30,2021-07-30,BLUESTARCO,A,844.0,849.8,832.7,842.5,840.4,467,2491,2092807.0
2021-07-30,2021-07-30,DISAQ,X,5564.95,5655.0,5370.0,5434.9,5360.45,71,263,1452267.0
2021-07-30,2021-07-30,QUESTCAP,X,197.1,199.0,197.1,197.9,197.1,65,12677,2511897.0
2021-07-30,2021-07-30,BPL,B,39.0,40.5,38.85,39.1,39.05,492,19810,783731.0
2021-07-30,2021-07-30,OAL,B,931.85,934.2,915.95,923.05,922.65,533,2515,2334448.0
2021-07-30,2021-07-30,CENTEXT,B,9.5,10.11,9.19,9.88,9.29,256,136050,1350736.0
2021-07-30,2021-07-30,CESC,A,837.0,848.0,835.0,838.1,837.5,911,14366,12087272.0
2021-07-30,2021-07-30,CHAMBLFERT,A,302.7,321.5,301.1,305.15,299.9,12931,573139,180010836.0
2021-07-30,2021-07-30,EXIDEIND,A,174.9,181.0,174.5,178.55,174.3,9307,525791,93497845.0
2021-07-30,2021-07-30,CIPLA,A,883.0,930.0,875.4,920.3,882.3,11251,349527,319145784.0
2021-07-30,2021-07-30,DICIND,B,487.35,492.85,486.65,489.8,487.9,83,1336,654195.0
2021-07-30,2021-07-30,CRISIL,A,2831.0,2857.05,2751.5,2783.8,2830.55,1361,5089,14141023.0
2021-07-30,2021-07-30,CGPOWER,T,80.0,80.0,77.75,78.25,79.05,699,114891,9048230.0
2021-07-30,2021-07-30,DABUR,A,589.8,603.45,584.0,600.5,584.6,6946,262535,157087925.0
2021-07-30,2021-07-30,DALMIASUG,A,484.5,494.5,475.0,478.85,486.45,3280,42220,20484610.0
2021-07-30,2021-07-30,ARVIND,A,105.25,107.3,103.5,103.9,107.0,2408,209614,22016372.0
2021-07-30,2021-07-30,BALARPURIND,Z,1.59,1.59,1.5,1.51,1.57,687,1523531,2341756.0
2021-07-30,2021-07-30,BHEL,A,60.9,62.2,58.8,59.45,60.2,9808,6961665,423214998.0
2021-07-30,2021-07-30,HINDPETRO,A,267.0,267.0,260.55,261.35,263.6,2081,297470,78374540.0
2021-07-30,2021-07-30,IFCI,A,14.11,14.76,13.98,14.41,13.88,2612,905765,13155101.0
2021-07-30,2021-07-30,MTNL,B,22.3,22.35,21.1,21.2,21.8,810,239692,5174270.0
2021-07-30,2021-07-30,MRPL,A,44.7,45.35,44.1,44.65,45.7,1055,150246,6735968.0
2021-07-30,2021-07-30,CHENNPETRO,A,116.0,117.5,113.1,114.3,115.05,2158,77928,9010320.0
2021-07-30,2021-07-30,RELCAPITAL,B,17.2,18.25,17.2,18.15,17.4,2082,757122,13695992.0
2021-07-30,2021-07-30,SBIN,A,441.75,444.35,430.75,431.7,441.75,28745,2202999,956922292.0
2021-07-30,2021-07-30,SAIL,A,140.5,145.85,140.5,142.0,142.0,32548,6940673,993503439.0
2021-07-30,2021-07-30,TITAN,A,1752.0,1752.0,1711.55,1714.5,1740.1,2886,29053,50371233.0
2021-07-30,2021-07-30,IDBI,A,37.9,38.4,37.8,37.95,37.8,1364,655394,24973775.0
2021-07-30,2021-07-30,DCW,B,39.6,41.75,39.6,40.7,39.85,2927,602564,24497572.0
2021-07-30,2021-07-30,DHAMPURSUG,A,356.0,358.85,351.5,355.85,354.15,2280,47906,16993345.0
2021-07-30,2021-07-30,DIAMINESQ,X,309.95,309.95,301.0,302.75,307.5,300,13109,3988696.0
2021-07-30,2021-07-30,ELANTAS,A,3997.2,4000.0,3925.0,3957.3,3975.8,168,999,3974321.0
2021-07-30,2021-07-30,DRREDDY,A,4679.9,4802.0,4679.9,4712.7,4671.05,7953,59196,281011593.0
2021-07-30,2021-07-30,EIDPARRY,A,432.5,447.8,432.5,436.85,437.95,3511,122284,54011860.0
2021-07-30,2021-07-30,PGHL,A,5375.1,5418.45,5350.0,5356.25,5399.15,307,800,4305090.0
2021-07-30,2021-07-30,ELECTCAST,B,38.45,39.35,38.1,38.35,38.2,1031,131094,5086502.0
2021-07-30,2021-07-30,ESABINDIA,A,1886.7,1934.95,1886.7,1902.0,1879.6,106,471,901013.0
2021-07-30,2021-07-30,EPL,A,244.65,252.7,235.8,246.15,242.4,2980,58576,14465733.0
2021-07-30,2021-07-30,ESTER,B,142.5,143.1,138.35,139.3,141.55,890,43256,6076365.0
2021-07-30,2021-07-30,PHCAP,XT,52.7,52.75,52.0,52.0,50.25,18,1540,81003.0
2021-07-30,2021-07-30,FINCABLES,A,524.2,529.15,519.55,522.0,523.1,1172,18964,9903915.0
2021-07-30,2021-07-30,COCKERILL,X,932.0,960.0,905.0,931.95,914.8,185,31721,29440856.0
2021-07-30,2021-07-30,UFLEX,A,541.0,548.95,535.7,542.05,539.45,1455,23027,12487297.0
2021-07-30,2021-07-30,FOSECOIND,B,1608.6,1654.0,1602.0,1607.45,1606.35,174,579,936723.0
2021-07-30,2021-07-30,GOLDENTOBC,B,78.8,82.35,68.5,82.35,74.9,2173,124715,9693886.0
2021-07-30,2021-07-30,GANESHBE,X,92.0,93.0,86.1,86.9,91.0,983,167948,15010476.0
2021-07-30,2021-07-30,METROGLOBL,X,100.15,106.95,100.15,101.25,105.35,330,28709,2936112.0
2021-07-30,2021-07-30,GTL,T,20.1,21.95,20.1,21.4,20.95,387,128418,2780039.0
2021-07-30,2021-07-30,GODFRYPHLP,A,1044.0,1044.05,1015.55,1023.4,1042.2,399,1865,1927865.0
2021-07-30,2021-07-30,GODREJIND,A,542.5,554.4,540.0,547.55,542.0,571,5555,3044690.0
2021-07-30,2021-07-30,KANSAINER,A,625.0,649.0,616.65,626.1,619.2,2319,36444,23114874.0
2021-07-30,2021-07-30,GOODRICKE,X,318.95,322.0,310.0,313.0,314.55,536,21747,6845237.0
2021-07-30,2021-07-30,GOODYEAR,A,1276.7,1276.7,1264.5,1269.65,1264.0,1872,13522,17188513.0
