TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2020-11-13,2020-11-13,ABB,B,958.4,1005.65,958.4,999.8,967.35,1805,12011,11853783.0
2020-11-13,2020-11-13,AEGISLOG,A,219.0,221.0,214.2,217.85,219.3,576,10275,2235902.0
2020-11-13,2020-11-13,ARE&M,A,835.0,846.0,812.45,817.1,834.45,1498,31271,25844063.0
2020-11-13,2020-11-13,AMBALALSA,X,22.75,22.75,20.75,22.45,20.7,970,626084,13986292.0
2020-11-13,2020-11-13,HDFC,A,2325.0,2325.0,2285.0,2306.4,2330.7,5927,759502,1762554298.0
2020-11-13,2020-11-13,ANDHRAPET,X,30.2,31.35,29.5,30.5,30.45,312,107563,3248737.0
2020-11-13,2020-11-13,ANSALAPI,B,4.36,4.36,4.24,4.31,4.37,41,9682,41816.0
2020-11-13,2020-11-13,UTIQUE,X,1.12,1.12,1.01,1.01,1.12,3,41,41.0
2020-11-13,2020-11-13,BOMDYEING,A,64.5,65.35,64.15,64.5,64.5,637,54173,3500410.0
2020-11-13,2020-11-13,ASIANHOTNR,B,54.95,56.05,54.7,54.95,55.85,7,107,5879.0
2020-11-13,2020-11-13,ATUL,A,6300.0,6422.0,6300.0,6361.7,6366.75,508,1233,7835546.0
2020-11-13,2020-11-13,ATVPR,XT,3.57,3.85,3.57,3.8,3.75,16,3305,12403.0
2020-11-13,2020-11-13,AUTOLITEI,B,18.5,18.5,18.5,18.5,18.05,1,4,74.0
2020-11-13,2020-11-13,BAJAJELEC,A,546.15,551.0,536.0,540.45,548.7,899,13971,7591142.0
2020-11-13,2020-11-13,BAJAJHIND,B,4.48,4.57,4.39,4.47,4.57,839,467866,2073962.0
2020-11-13,2020-11-13,FORCEMOT,A,1057.0,1066.55,1051.6,1054.7,1052.05,205,771,816026.0
2020-11-13,2020-11-13,BAJFINANCE,A,4260.0,4409.0,4253.85,4374.9,4298.65,24891,357474,1551743489.0
2020-11-13,2020-11-13,BALRAMCHIN,A,149.3,149.95,148.7,149.15,149.15,1267,39153,5850384.0
2020-11-13,2020-11-13,BANCOINDIA,B,94.0,110.0,93.75,106.75,93.55,5323,211397,22118390.0
2020-11-13,2020-11-13,ABREL,A,312.0,315.15,311.75,313.55,312.3,407,10713,3358955.0
2020-11-13,2020-11-13,BANARISUG,B,1300.1,1300.1,1300.1,1300.1,1303.25,2,10,13001.0
2020-11-13,2020-11-13,BASF,A,1500.0,1535.35,1491.4,1506.9,1496.75,610,2291,3468949.0
2020-11-13,2020-11-13,BATAINDIA,A,1339.35,1356.7,1332.3,1354.4,1338.85,931,11584,15603310.0
2020-11-13,2020-11-13,BEML,A,623.7,623.7,607.5,609.65,622.0,1093,18733,11486658.0
2020-11-13,2020-11-13,BEL,A,94.9,97.15,92.75,96.65,94.2,1773,330160,31362704.0
2020-11-13,2020-11-13,BEPL,B,91.25,97.75,91.25,96.75,92.25,3398,159010,15274264.0
2020-11-13,2020-11-13,TATASTLBSL,B,28.5,29.6,28.3,29.55,28.6,1295,172325,5007549.0
2020-11-13,2020-11-13,BIHSPONG,XT,1.4,1.4,1.4,1.4,1.38,34,44061,61685.0
2020-11-13,2020-11-13,BIRLACABLE,B,48.4,49.8,47.5,49.35,48.5,275,15783,773945.0
2020-11-13,2020-11-13,BLUESTARCO,A,660.6,689.8,655.0,679.05,668.4,970,8113,5508769.0
2020-11-13,2020-11-13,DISAQ,X,3840.0,3966.0,3515.0,3626.0,3707.2,11,67,252840.0
2020-11-13,2020-11-13,QUESTCAP,X,74.75,74.75,73.8,74.7,74.1,5,214,15895.0
2020-11-13,2020-11-13,BPL,B,19.2,20.35,19.2,19.5,19.75,273,69589,1374224.0
2020-11-13,2020-11-13,OAL,B,478.6,490.4,460.0,472.4,484.65,582,3619,1717847.0
2020-11-13,2020-11-13,CENTEXT,B,3.61,3.66,3.51,3.55,3.64,67,32266,116058.0
2020-11-13,2020-11-13,CESC,A,580.0,585.0,574.0,581.95,577.85,486,4707,2725426.0
2020-11-13,2020-11-13,CHAMBLFERT,A,168.55,182.3,168.55,181.35,171.65,6339,235483,42182728.0
2020-11-13,2020-11-13,EXIDEIND,A,171.5,171.6,167.1,168.7,170.2,4110,221342,37443508.0
