TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-02-02,2021-02-02,ABB,A,1397.45,1507.0,1397.45,1442.65,1380.9,1885,20663,29832503.0
2021-02-02,2021-02-02,AEGISLOG,A,285.0,292.0,280.4,280.85,283.5,386,7647,2186145.0
2021-02-02,2021-02-02,ARE&M,A,933.5,975.5,933.5,940.85,933.0,1896,65543,62379195.0
2021-02-02,2021-02-02,AMBALALSA,X,21.05,21.25,20.55,20.85,20.65,119,30688,643286.0
2021-02-02,2021-02-02,HDFC,A,2621.0,2761.95,2610.25,2657.65,2582.55,24624,320733,867209987.0
2021-02-02,2021-02-02,ANDHRAPET,X,52.75,52.75,50.35,51.45,50.25,471,106813,5548285.0
2021-02-02,2021-02-02,ANSALAPI,B,7.46,7.5,7.46,7.46,7.85,100,137298,1024279.0
2021-02-02,2021-02-02,UTIQUE,X,2.0,2.0,1.9,1.91,2.0,24,4861,9605.0
2021-02-02,2021-02-02,ARUNAHTEL,XT,6.61,6.61,6.61,6.61,6.3,5,1150,7601.0
2021-02-02,2021-02-02,BOMDYEING,A,76.05,77.6,75.8,76.8,75.8,2172,449565,34440838.0
2021-02-02,2021-02-02,ATUL,A,6480.0,6662.2,6480.0,6555.05,6532.35,1010,2909,19246368.0
2021-02-02,2021-02-02,ATVPR,XT,4.92,5.25,4.91,5.16,5.02,24,9605,48545.0
2021-02-02,2021-02-02,AUTOLITEI,Z,30.0,30.0,28.1,29.8,29.55,41,2332,67278.0
2021-02-02,2021-02-02,BAJAJELEC,A,750.0,761.95,718.85,733.6,739.2,909,16634,12259429.0
2021-02-02,2021-02-02,BAJAJHIND,A,6.68,6.81,6.6,6.64,6.69,454,495703,3318003.0
2021-02-02,2021-02-02,FORCEMOT,A,1395.0,1429.05,1383.8,1388.7,1380.1,528,4201,5915436.0
2021-02-02,2021-02-02,BAJFINANCE,A,5114.0,5336.85,5099.0,5172.9,5059.9,34194,301091,1575874353.0
2021-02-02,2021-02-02,BALRAMCHIN,A,181.85,181.95,163.1,164.6,176.5,2925,156134,27071526.0
2021-02-02,2021-02-02,BANCOINDIA,B,142.0,148.9,141.0,141.85,142.2,451,13118,1890901.0
2021-02-02,2021-02-02,ABREL,A,431.0,476.0,431.0,471.1,433.8,5391,165811,76027836.0
2021-02-02,2021-02-02,BANARISUG,A,1480.5,1500.0,1480.5,1495.6,1465.8,18,37,55125.0
2021-02-02,2021-02-02,BASF,A,1613.6,1621.0,1563.5,1583.75,1588.4,388,2322,3683390.0
2021-02-02,2021-02-02,BATAINDIA,A,1563.0,1563.0,1520.0,1539.55,1529.55,2003,29210,45034021.0
2021-02-02,2021-02-02,BEML,A,920.55,944.0,916.9,922.25,920.55,841,25540,23613096.0
2021-02-02,2021-02-02,BEL,A,133.75,136.75,131.5,133.5,133.55,5516,825974,110579658.0
2021-02-02,2021-02-02,BEPL,A,143.0,144.85,140.0,141.15,141.65,1034,89668,12733541.0
2021-02-02,2021-02-02,TATASTLBSL,B,40.85,40.95,39.5,40.25,40.1,1770,670056,26947546.0
2021-02-02,2021-02-02,BIRLACABLE,B,63.5,67.0,62.55,63.65,61.75,302,18454,1183357.0
2021-02-02,2021-02-02,BLUESTARCO,A,786.55,814.0,778.3,798.3,778.3,1050,9422,7505175.0
2021-02-02,2021-02-02,DISAQ,X,3902.0,4035.0,3902.0,3950.05,3994.8,13,30,118786.0
2021-02-02,2021-02-02,QUESTCAP,X,111.0,124.85,108.0,116.25,118.75,45,8423,976151.0
2021-02-02,2021-02-02,BPL,B,21.3,21.8,21.0,21.1,21.35,107,6278,133714.0
2021-02-02,2021-02-02,OAL,B,647.0,647.0,593.0,604.7,599.05,609,6323,3833952.0
2021-02-02,2021-02-02,CENTEXT,B,4.71,4.71,4.42,4.58,4.51,80,17512,80614.0
2021-02-02,2021-02-02,CESC,A,632.0,635.0,621.3,630.25,623.45,488,9683,6082733.0
2021-02-02,2021-02-02,CHAMBLFERT,A,241.0,241.0,232.5,234.65,234.4,1721,81869,19371326.0
2021-02-02,2021-02-02,EXIDEIND,A,197.5,202.95,196.2,201.5,194.65,5719,404170,80942466.0
2021-02-02,2021-02-02,CIPLA,A,810.0,826.9,801.95,821.95,805.55,7596,293558,238753081.0
2021-02-02,2021-02-02,DICIND,B,396.95,400.0,396.9,400.0,392.85,21,74,29410.0
2021-02-02,2021-02-02,CRISIL,A,1924.15,1954.0,1916.2,1932.3,1920.1,418,1440,2790176.0
2021-02-02,2021-02-02,CGPOWER,B,40.05,41.75,40.05,41.05,40.35,671,292852,12037812.0
2021-02-02,2021-02-02,DABUR,A,533.0,535.55,524.5,526.2,525.3,3172,92400,48907435.0
2021-02-02,2021-02-02,DALMIASUG,A,141.75,143.55,136.55,137.0,139.8,627,25145,3518497.0
2021-02-02,2021-02-02,ARVIND,A,52.1,54.25,52.1,53.55,52.45,4553,1260456,67398398.0
2021-02-02,2021-02-02,BALARPURIND,Z,1.3,1.38,1.3,1.36,1.32,526,3555266,4765066.0
2021-02-02,2021-02-02,BHEL,A,38.5,39.95,38.05,38.9,38.2,11743,8407609,326717617.0
2021-02-02,2021-02-02,HINDPETRO,A,220.0,225.85,219.9,222.2,217.95,3535,345513,76968449.0
2021-02-02,2021-02-02,IFCI,A,9.1,9.18,8.85,8.91,9.08,66263,591618,5303774.0
2021-02-02,2021-02-02,MTNL,B,13.33,13.37,12.78,12.88,13.27,1197,360357,4673525.0
2021-02-02,2021-02-02,MRPL,A,34.8,35.1,33.85,34.15,35.45,1307,306945,10604597.0
