TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2023-10-12,2023-10-12,ABB,A,4187.7,4235.0,4187.65,4215.35,4187.65,790,3611,15226511.0
2023-10-12,2023-10-12,AEGISLOG,A,325.9,325.9,322.0,323.05,323.45,510,10719,3468888.0
2023-10-12,2023-10-12,ARE&M,A,645.0,656.85,641.95,648.05,641.95,1386,27352,17774660.0
2023-10-12,2023-10-12,AMBALALSA,XT,43.82,43.82,43.82,43.82,42.97,287,206900,9066358.0
2023-10-12,2023-10-12,ANDHRAPET,X,76.0,76.89,74.5,75.74,75.91,336,56880,4316791.0
2023-10-12,2023-10-12,UTIQUE,X,6.17,6.17,6.0,6.06,6.1,127,35037,211917.0
2023-10-12,2023-10-12,ARUNAHTEL,X,14.6,16.17,14.5,16.17,14.7,163,96796,1507983.0
2023-10-12,2023-10-12,BOMDYEING,A,154.75,159.0,153.55,155.4,154.5,3676,295906,46239018.0
2023-10-12,2023-10-12,ASIANHOTNR,B,139.2,146.35,139.2,146.35,133.05,38,2842,410936.0
2023-10-12,2023-10-12,ATUL,A,6910.2,6957.0,6873.0,6944.2,6897.3,574,3984,27580515.0
2023-10-12,2023-10-12,ATVPR,XT,15.42,15.42,15.29,15.41,15.12,64,47415,731045.0
2023-10-12,2023-10-12,BAJAJELEC,A,1060.95,1077.0,1060.5,1069.1,1061.85,192,1513,1616631.0
2023-10-12,2023-10-12,BAJAJHIND,A,25.45,26.09,25.18,25.33,25.34,4835,2177655,55613185.0
2023-10-12,2023-10-12,FORCEMOT,B,3984.95,4020.0,3920.0,3990.95,3932.75,515,1682,6694702.0
2023-10-12,2023-10-12,BAJFINANCE,A,8111.0,8128.3,8005.0,8014.45,8098.4,2217,21353,171628907.0
2023-10-12,2023-10-12,BALRAMCHIN,A,425.5,425.5,415.9,416.75,420.55,787,21984,9212895.0
2023-10-12,2023-10-12,BANCOINDIA,B,482.0,489.95,479.0,481.7,477.7,899,11507,5571874.0
2023-10-12,2023-10-12,ABREL,A,1173.95,1185.55,1160.1,1179.1,1174.2,1054,15886,18660819.0
2023-10-12,2023-10-12,BANARISUG,B,2627.0,2639.3,2619.25,2627.0,2635.85,19,40,105232.0
2023-10-12,2023-10-12,BASF,A,2541.05,2597.75,2541.0,2587.6,2556.1,238,781,2019948.0
2023-10-12,2023-10-12,BATAINDIA,A,1620.05,1648.15,1620.05,1633.35,1634.0,348,2401,3932174.0
2023-10-12,2023-10-12,BEML,A,2349.95,2358.65,2321.15,2329.7,2333.1,499,4068,9508015.0
2023-10-12,2023-10-12,BEL,A,138.0,138.7,137.15,138.1,137.8,5540,390091,53852547.0
2023-10-12,2023-10-12,BEPL,B,93.05,93.68,92.05,92.78,91.83,2195,74000,6862794.0
2023-10-12,2023-10-12,BIHSPONG,XT,10.7,11.0,10.61,10.89,10.61,164,50302,542284.0
2023-10-12,2023-10-12,BILVYAPAR,T,15.0,15.0,14.95,14.95,14.91,4,800,11970.0
2023-10-12,2023-10-12,BIRLACABLE,B,344.95,344.95,326.0,328.55,334.95,1141,25914,8592355.0
2023-10-12,2023-10-12,BLUESTARCO,A,888.8,890.65,873.95,878.15,882.45,576,4947,4359382.0
2023-10-12,2023-10-12,DISAQ,B,13449.95,13887.0,13360.0,13599.35,13551.5,22,37,500623.0
2023-10-12,2023-10-12,QUESTCAP,X,262.0,275.0,261.0,264.5,262.0,38,1629,428972.0
2023-10-12,2023-10-12,BPL,B,82.0,82.5,79.66,80.52,81.4,393,13971,1132699.0
2023-10-12,2023-10-12,OAL,B,370.4,376.1,369.7,370.55,366.05,47,221,82143.0
2023-10-12,2023-10-12,CENTEXT,T,17.38,17.38,16.8,17.09,16.56,284,68102,1164124.0
2023-10-12,2023-10-12,CESC,A,89.13,89.13,88.17,88.3,88.51,1544,147684,13068131.0
2023-10-12,2023-10-12,CHAMBLFERT,A,286.05,293.0,285.9,290.85,284.55,7568,375267,108741889.0
2023-10-12,2023-10-12,EXIDEIND,A,263.3,267.9,262.9,264.7,262.95,2095,98523,26099611.0
2023-10-12,2023-10-12,CIPLA,A,1183.85,1186.95,1152.95,1157.45,1170.8,2035,35157,40887888.0
2023-10-12,2023-10-12,DICIND,B,431.0,431.0,427.95,430.9,429.4,16,205,88347.0
2023-10-12,2023-10-12,CRISIL,A,4040.7,4047.3,3939.6,3995.75,3975.55,656,2484,9915246.0
2023-10-12,2023-10-12,CGPOWER,A,405.0,407.7,393.5,399.6,404.35,2277,93292,37153208.0
2023-10-12,2023-10-12,DABUR,A,547.4,547.4,539.05,541.0,543.9,2213,26572,14376549.0
2023-10-12,2023-10-12,DALMIASUG,B,445.95,469.7,443.45,459.4,444.4,1330,17608,8069167.0
2023-10-12,2023-10-12,ARVIND,A,177.55,181.3,175.7,178.75,174.85,896,34420,6179962.0
2023-10-12,2023-10-12,BHEL,A,131.7,133.7,130.25,130.6,130.8,7756,1103017,145264663.0
2023-10-12,2023-10-12,HINDPETRO,A,256.9,261.9,255.7,258.45,254.05,1543,181498,46943097.0
2023-10-12,2023-10-12,IFCI,A,23.4,26.4,22.88,26.01,23.21,19148,19422088,481852752.0
2023-10-12,2023-10-12,MTNL,A,27.21,30.89,26.7,30.16,27.15,8589,4121783,117607832.0
2023-10-12,2023-10-12,MRPL,A,98.01,102.84,98.01,100.31,98.01,3981,735435,74447532.0
2023-10-12,2023-10-12,CHENNPETRO,A,509.5,529.5,509.5,527.0,509.7,4710,139797,73456488.0
2023-10-12,2023-10-12,SBIN,A,591.7,592.95,585.0,586.2,588.3,6292,196449,115766094.0
2023-10-12,2023-10-12,SAIL,A,89.49,90.45,88.98,89.36,88.68,6273,1226077,110080422.0
2023-10-12,2023-10-12,TITAN,A,3280.55,3294.55,3262.9,3284.3,3279.7,1076,8895,29159186.0
2023-10-12,2023-10-12,IDBI,A,69.87,71.58,68.82,70.92,69.18,3248,735343,51458031.0
2023-10-12,2023-10-12,DCW,A,59.49,60.47,58.37,58.69,59.05,2325,460827,27133095.0
2023-10-12,2023-10-12,DHAMPURSUG,A,291.5,296.95,290.7,294.1,291.9,1305,26525,7792960.0
2023-10-12,2023-10-12,DIAMINESQ,B,525.15,525.15,515.0,516.5,522.4,254,1191,619085.0
2023-10-12,2023-10-12,ELANTAS,B,8033.95,8033.95,7801.55,7899.7,7991.85,46,288,2275609.0
2023-10-12,2023-10-12,DRREDDY,A,5599.95,5599.95,5518.35,5529.9,5567.25,753,3499,19390004.0
2023-10-12,2023-10-12,EIDPARRY,A,522.95,523.05,508.25,509.65,518.45,1578,30359,15600170.0
2023-10-12,2023-10-12,PGHL,A,5043.45,5046.9,4990.65,5012.4,5020.6,123,244,1225487.0
2023-10-12,2023-10-12,ELECTCAST,A,81.4,82.5,78.35,79.9,81.0,3424,593409,47904516.0
2023-10-12,2023-10-12,ESABINDIA,A,4969.15,5012.2,4931.85,4980.95,4940.35,83,175,870907.0
2023-10-12,2023-10-12,EPL,A,193.05,197.2,192.25,192.75,193.45,726,24861,4848710.0
2023-10-12,2023-10-12,ESTER,B,94.0,95.11,93.7,94.55,94.59,211,5571,526483.0
2023-10-12,2023-10-12,FGP,XT,6.04,6.04,6.0,6.0,5.76,10,2332,14001.0
2023-10-12,2023-10-12,FINCABLES,A,1055.5,1066.8,1006.9,1012.55,1044.6,3882,37401,38484758.0
2023-10-12,2023-10-12,COCKERILL,X,2776.0,2817.0,2751.05,2760.25,2785.9,84,1056,2944840.0
2023-10-12,2023-10-12,UFLEX,A,446.75,452.0,443.95,448.1,443.9,269,2707,1212853.0
2023-10-12,2023-10-12,FOSECOIND,B,3400.0,3420.55,3385.0,3417.85,3416.9,38,72,245276.0
2023-10-12,2023-10-12,GOLDENTOBC,Z,53.5,53.5,51.62,51.62,52.5,21,1500,78512.0
2023-10-12,2023-10-12,GANESHBE,B,148.4,154.8,147.35,153.95,147.15,973,35154,5336856.0
2023-10-12,2023-10-12,METROGLOBL,X,96.25,96.8,93.55,94.29,93.85,89,3371,321987.0
2023-10-12,2023-10-12,GTL,T,7.82,8.2,7.82,8.08,8.02,210,60581,490012.0
2023-10-12,2023-10-12,GODFRYPHLP,A,2222.25,2255.85,2178.85,2187.6,2247.6,1983,9530,21146728.0
2023-10-12,2023-10-12,GODREJIND,A,669.15,681.7,658.0,676.8,668.55,1621,18533,12409613.0
2023-10-12,2023-10-12,KANSAINER,A,323.85,323.85,320.5,321.6,320.0,347,5112,1647020.0
2023-10-12,2023-10-12,GOODRICKE,X,200.9,206.0,198.0,202.45,200.0,164,12118,2456211.0
2023-10-12,2023-10-12,GOODYEAR,B,1353.85,1366.25,1333.65,1356.8,1330.65,305,3004,4069818.0
2023-10-12,2023-10-12,GTNINDS,XT,35.76,36.0,33.6,34.5,34.9,69,10471,360301.0
2023-10-12,2023-10-12,GHCL,A,631.0,632.85,617.7,628.1,628.65,946,14403,8981905.0
2023-10-12,2023-10-12,GFLLIMITED,B,84.5,94.5,84.5,90.98,84.5,734,44425,4075621.0
2023-10-12,2023-10-12,GLFL,B,3.72,3.72,3.69,3.69,3.55,10,3336,12392.0
2023-10-12,2023-10-12,HCL-INSYS,T,16.24,16.4,16.23,16.24,16.23,272,61129,994883.0
2023-10-12,2023-10-12,HDFCBANK,A,1538.0,1552.0,1531.65,1549.85,1538.6,11375,319472,492698603.0
2023-10-12,2023-10-12,HEROMOTOCO,A,3110.05,3132.9,3065.2,3086.1,3100.5,1819,14201,44050170.0
2023-10-12,2023-10-12,HFCL,A,73.38,74.15,72.52,72.87,73.2,2743,381767,27995678.0
2023-10-12,2023-10-12,HSCL,A,249.15,262.0,246.5,255.7,245.95,2948,187926,47971130.0
2023-10-12,2023-10-12,HCC,A,27.84,28.18,27.27,27.4,27.63,3264,2193066,60886230.0
2023-10-12,2023-10-12,HINDOILEXP,A,172.3,173.05,167.95,169.95,170.65,1372,83094,14179869.0
2023-10-12,2023-10-12,AGI,A,919.7,932.35,907.25,927.65,907.4,427,5093,4677916.0
2023-10-12,2023-10-12,HINDZINC,A,315.9,321.8,315.15,317.7,317.5,2957,98798,31477158.0
2023-10-12,2023-10-12,NDLVENTURE,T,140.15,147.9,140.15,142.55,146.2,8,554,78872.0
2023-10-12,2023-10-12,HMT,Z,67.95,67.95,61.49,67.95,64.72,339,75514,4995705.0
2023-10-12,2023-10-12,PRAGBOS,X,2.93,3.01,2.8,2.98,2.93,17,10192,29962.0
2023-10-12,2023-10-12,HLVLTD,B,22.38,22.54,21.72,21.77,21.95,907,158997,3501411.0
2023-10-12,2023-10-12,IGPL,B,532.0,533.0,523.05,525.7,528.3,271,2399,1261091.0
2023-10-12,2023-10-12,INDIAGLYCO,A,700.05,713.0,700.05,705.65,701.75,302,2601,1833512.0
2023-10-12,2023-10-12,INDLEASE,XT,7.2,7.2,7.19,7.19,7.21,4,1176,8457.0
2023-10-12,2023-10-12,MARGOFIN,X,36.0,36.0,32.4,32.69,33.9,78,10397,343523.0
2023-10-12,2023-10-12,INDORAMA,B,51.43,51.8,51.0,51.13,51.5,199,30324,1553256.0
2023-10-12,2023-10-12,INFY,A,1490.5,1504.5,1452.0,1464.55,1493.65,8081,192060,284762693.0
2023-10-12,2023-10-12,INGERRAND,A,2880.0,2881.3,2857.9,2879.65,2851.75,144,387,1112376.0
2023-10-12,2023-10-12,ITHL,X,425.95,431.0,400.0,403.7,417.8,908,47096,19532807.0
2023-10-12,2023-10-12,IONEXCHANG,A,528.0,538.0,515.05,532.25,521.65,1971,18212,9644598.0
2023-10-12,2023-10-12,SUNDROP,B,831.0,842.2,821.25,821.9,829.5,43,101,84281.0
2023-10-12,2023-10-12,JISLJALEQS,A,63.18,64.9,62.66,64.16,63.17,2855,677253,43145536.0
2023-10-12,2023-10-12,JCTLTD,XT,3.06,3.06,2.9,2.92,2.97,883,1114022,3290142.0
2023-10-12,2023-10-12,JINDALPOLY,A,683.55,688.1,679.0,681.15,679.95,138,1473,1006913.0
2023-10-12,2023-10-12,JSWSTEEL,A,781.5,790.0,779.7,783.2,776.85,2251,81851,64201362.0
2023-10-12,2023-10-12,UMANGDAIRY,B,73.16,73.16,69.4,70.99,70.0,111,3991,281868.0
2023-10-12,2023-10-12,KAJARIACER,A,1294.2,1323.5,1289.5,1302.45,1286.8,268,1148,1500617.0
2023-10-12,2023-10-12,KAKATCEM,B,221.0,222.5,220.05,221.65,221.05,26,216,47849.0
