TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-03-22,2021-03-22,ABB,A,1430.0,1430.0,1385.05,1388.7,1413.9,1150,7674,10744826.0
2021-03-22,2021-03-22,AEGISLOG,A,303.5,303.5,291.7,294.85,301.0,759,16062,4743660.0
2021-03-22,2021-03-22,ARE&M,A,865.0,875.85,865.0,873.85,870.1,1676,35091,30614419.0
2021-03-22,2021-03-22,AMBALALSA,X,17.6,18.5,17.6,18.2,17.95,110,31895,577442.0
2021-03-22,2021-03-22,HDFC,A,2539.0,2546.95,2485.5,2534.5,2532.15,6928,85195,214410471.0
2021-03-22,2021-03-22,ANDHRAPET,X,60.75,60.8,57.9,59.1,60.3,522,107714,6340334.0
2021-03-22,2021-03-22,ANSALAPI,B,6.85,6.91,6.61,6.66,6.85,47,14169,94865.0
2021-03-22,2021-03-22,UTIQUE,X,2.19,2.19,2.09,2.09,2.19,13,8133,17217.0
2021-03-22,2021-03-22,ARUNAHTEL,XT,5.25,5.27,5.25,5.25,5.23,3,200,1051.0
2021-03-22,2021-03-22,BOMDYEING,A,74.8,76.0,73.8,74.95,74.8,2401,474372,35504169.0
2021-03-22,2021-03-22,ASIANHOTNR,B,66.7,67.35,66.05,66.9,66.0,6,61,4078.0
2021-03-22,2021-03-22,ATUL,A,6720.0,7030.4,6679.0,6903.55,6713.15,694,1939,13400113.0
2021-03-22,2021-03-22,ATVPR,XT,4.6,4.6,4.28,4.33,4.48,36,9525,42591.0
2021-03-22,2021-03-22,BAJAJELEC,A,944.0,949.9,919.05,933.15,922.6,866,7550,7040302.0
2021-03-22,2021-03-22,BAJAJHIND,A,6.41,6.75,6.4,6.56,6.41,2939,722474,4753193.0
2021-03-22,2021-03-22,FORCEMOT,A,1233.65,1239.1,1190.85,1230.4,1231.2,620,7849,9613318.0
2021-03-22,2021-03-22,BAJFINANCE,A,5458.9,5497.05,5336.75,5389.15,5451.9,9112,93172,503206306.0
2021-03-22,2021-03-22,BALRAMCHIN,A,202.5,207.2,198.15,204.1,202.3,1607,142128,28776797.0
2021-03-22,2021-03-22,BANCOINDIA,B,148.35,148.5,145.15,146.8,143.3,526,18512,2717652.0
2021-03-22,2021-03-22,ABREL,A,475.25,486.85,469.95,482.2,469.7,939,50074,24116001.0
2021-03-22,2021-03-22,BANARISUG,A,1740.85,1740.85,1703.0,1706.75,1729.3,17,22,37935.0
2021-03-22,2021-03-22,BASF,A,2061.15,2115.0,2052.85,2084.35,2078.55,478,2904,6047802.0
2021-03-22,2021-03-22,BATAINDIA,A,1501.0,1501.0,1469.25,1474.65,1489.4,932,15773,23304197.0
