TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2020-04-15,2020-04-15,ABB,B,909.0,933.0,908.15,919.25,907.7,434,2462,2275243.0
2020-04-15,2020-04-15,AEGISLOG,A,158.85,170.0,154.0,160.9,155.45,996,11461,1864248.0
2020-04-15,2020-04-15,ARE&M,A,522.95,528.05,500.0,510.75,499.15,1257,25785,13261561.0
2020-04-15,2020-04-15,AMBALALSA,X,18.0,18.5,17.15,18.15,17.8,128,40252,716504.0
2020-04-15,2020-04-15,HDFC,A,1701.0,1705.95,1584.0,1594.75,1654.45,18047,320635,526455611.0
2020-04-15,2020-04-15,ANDHRAPET,Z,19.85,20.75,19.8,20.75,19.8,180,61566,1275329.0
2020-04-15,2020-04-15,ANSALAPI,B,4.31,4.35,4.09,4.11,4.17,42,28030,117877.0
2020-04-15,2020-04-15,UTIQUE,X,1.1,1.1,1.05,1.05,1.1,9,5727,6013.0
2020-04-15,2020-04-15,ARUNAHTEL,XT,6.12,6.12,6.12,6.12,5.83,3,151,924.0
2020-04-15,2020-04-15,BOMDYEING,A,51.0,52.5,49.6,50.65,50.0,1745,111201,5696695.0
2020-04-15,2020-04-15,ASIANHOTNR,B,66.15,74.95,66.15,70.0,70.0,5,403,28344.0
2020-04-15,2020-04-15,ATUL,A,4499.95,4499.95,4199.05,4216.05,4206.65,409,846,3625846.0
2020-04-15,2020-04-15,ATVPR,XT,3.36,3.36,3.2,3.36,3.2,13,2210,7345.0
2020-04-15,2020-04-15,AUTOLITEI,B,14.65,15.88,14.61,15.74,15.37,35,502,7482.0
2020-04-15,2020-04-15,BAJAJELEC,A,319.95,325.35,315.25,316.7,314.25,535,4871,1560013.0
2020-04-15,2020-04-15,BAJAJHIND,B,3.78,3.78,3.65,3.78,3.6,573,989148,3729544.0
2020-04-15,2020-04-15,FORCEMOT,A,773.25,815.0,773.25,787.5,785.35,1098,4666,3728772.0
2020-04-15,2020-04-15,BAJFINANCE,A,2337.0,2366.75,2169.0,2182.55,2288.5,33199,397985,905662547.0
2020-04-15,2020-04-15,BALRAMCHIN,A,114.0,116.05,111.05,111.05,116.85,4225,68663,7714355.0
2020-04-15,2020-04-15,BANCOINDIA,B,66.95,69.2,66.0,67.2,65.95,400,8515,574637.0
2020-04-15,2020-04-15,ABREL,A,327.15,345.6,316.85,321.1,319.75,2368,92384,30580451.0
2020-04-15,2020-04-15,BANARISUG,B,906.0,906.0,864.05,867.5,864.0,22,69,61135.0
2020-04-15,2020-04-15,BASF,A,1186.25,1234.0,1120.0,1125.15,1168.75,1076,3609,4200426.0
2020-04-15,2020-04-15,BATAINDIA,A,1200.0,1244.0,1189.8,1204.15,1191.8,2702,32524,39608750.0
2020-04-15,2020-04-15,BEML,A,740.0,754.95,583.55,602.3,664.9,13449,278838,188361864.0
2020-04-15,2020-04-15,BEL,A,73.2,73.2,68.85,69.7,70.55,3049,854429,60277863.0
2020-04-15,2020-04-15,BEPL,B,35.0,35.0,32.35,33.55,32.85,386,19026,642728.0
2020-04-15,2020-04-15,TATASTLBSL,B,18.25,18.4,17.55,17.7,17.7,319,98630,1778393.0
2020-04-15,2020-04-15,BIHSPONG,XT,0.36,0.36,0.36,0.36,0.36,5,611,219.0
2020-04-15,2020-04-15,BIRLACABLE,B,35.55,36.1,34.95,35.6,34.4,117,2071,73406.0
2020-04-15,2020-04-15,BLUESTARCO,A,490.65,504.95,474.35,477.6,480.75,825,3654,1796698.0
2020-04-15,2020-04-15,DISAQ,X,3515.05,3688.95,3455.0,3476.5,3590.15,90,206,724014.0
2020-04-15,2020-04-15,QUESTCAP,X,51.9,51.9,50.4,50.4,49.75,5,602,30354.0
2020-04-15,2020-04-15,BPL,T,16.24,16.24,16.24,16.24,15.47,54,12445,202106.0
2020-04-15,2020-04-15,OAL,B,169.0,174.95,160.2,160.2,156.5,19,193,32737.0
2020-04-15,2020-04-15,CENTEXT,B,2.1,2.26,2.06,2.16,2.1,38,9590,20534.0
2020-04-15,2020-04-15,CESC,A,510.0,526.5,500.5,504.5,503.95,1004,14156,7315465.0
2020-04-15,2020-04-15,CHAMBLFERT,A,124.0,137.7,122.2,129.3,119.7,5842,177552,23333190.0
2020-04-15,2020-04-15,EXIDEIND,A,146.95,146.95,139.2,140.5,143.0,2064,76890,11019109.0
2020-04-15,2020-04-15,CIPLA,A,608.0,614.05,579.05,592.55,592.7,17855,660353,396944992.0
2020-04-15,2020-04-15,CRISIL,A,1440.85,1470.0,1360.75,1396.5,1440.85,774,5101,7306699.0
2020-04-15,2020-04-15,CGPOWER,B,8.07,8.22,8.07,8.22,7.48,238,187627,1541017.0
2020-04-15,2020-04-15,DABUR,A,479.75,505.7,479.75,502.9,479.75,3534,134158,66680566.0
