TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2022-10-18,2022-10-18,ABB,A,3242.95,3273.05,3186.8,3210.0,3196.95,2105,8266,26653554.0
2022-10-18,2022-10-18,AEGISLOG,A,273.05,277.5,270.4,274.85,271.75,1023,18571,5091386.0
2022-10-18,2022-10-18,ARE&M,A,490.15,493.55,488.5,490.3,489.7,531,8672,4256608.0
2022-10-18,2022-10-18,AMBALALSA,X,30.05,30.3,29.3,29.45,29.65,235,53338,1576556.0
2022-10-18,2022-10-18,HDFC,A,2361.7,2362.75,2322.1,2331.65,2348.65,2495,40041,93588969.0
2022-10-18,2022-10-18,ANDHRAPET,B,90.6,91.65,90.0,90.7,90.45,528,72468,6582199.0
2022-10-18,2022-10-18,ANSALAPI,T,23.25,23.25,23.25,23.25,22.15,44,29257,680225.0
2022-10-18,2022-10-18,UTIQUE,XT,7.9,8.1,7.75,8.01,8.05,126,30085,237431.0
2022-10-18,2022-10-18,ARUNAHTEL,X,16.95,17.8,16.45,16.8,17.0,21,3603,60524.0
2022-10-18,2022-10-18,BOMDYEING,A,96.35,97.65,96.05,96.65,96.15,1192,127290,12318586.0
2022-10-18,2022-10-18,ASIANHOTNR,B,93.45,93.45,90.75,90.75,91.5,15,482,44181.0
2022-10-18,2022-10-18,ATUL,A,8760.05,8775.3,8562.9,8657.15,8741.85,523,1083,9375179.0
2022-10-18,2022-10-18,ATVPR,XT,9.3,9.99,9.3,9.48,9.62,42,6554,62991.0
2022-10-18,2022-10-18,BAJAJELEC,A,1150.55,1192.0,1140.0,1149.4,1149.05,999,6511,7618530.0
2022-10-18,2022-10-18,BAJAJHIND,A,10.66,10.72,10.55,10.58,10.56,1782,870477,9235276.0
2022-10-18,2022-10-18,FORCEMOT,A,1352.7,1384.8,1338.1,1358.75,1345.6,1350,16826,23063945.0
2022-10-18,2022-10-18,BAJFINANCE,A,7385.15,7442.45,7320.0,7389.75,7355.35,6930,55643,410055792.0
2022-10-18,2022-10-18,BALRAMCHIN,A,352.0,353.75,345.05,347.5,349.75,981,26253,9152748.0
2022-10-18,2022-10-18,BANCOINDIA,B,180.65,182.6,179.15,180.05,180.45,681,13332,2410281.0
2022-10-18,2022-10-18,ABREL,A,822.75,827.3,815.0,817.5,819.2,439,2813,2304917.0
2022-10-18,2022-10-18,BANARISUG,B,2843.1,2849.95,2800.1,2801.85,2820.8,60,136,384120.0
