TradDt,BizDt,TckrSymb,SctySrs,OpnPric,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlNbOfTxsExctd,TtlTradgVol,TtlTrfVal
2021-09-17,2021-09-17,ABB,A,1909.0,1912.6,1837.1,1842.2,1910.6,2021,12134,22666466.0
2021-09-17,2021-09-17,AEGISLOG,A,241.2,245.95,231.2,240.2,238.85,4232,149339,35148935.0
2021-09-17,2021-09-17,ARE&M,A,740.0,740.0,722.5,728.75,738.2,5984,120222,87869792.0
2021-09-17,2021-09-17,AMBALALSA,X,31.0,31.0,29.95,31.0,29.55,1511,891075,27535744.0
2021-09-17,2021-09-17,HDFC,A,2815.35,2850.95,2802.9,2825.3,2812.6,6752,78347,221458592.0
2021-09-17,2021-09-17,ANDHRAPET,XT,151.15,153.4,144.2,148.2,151.0,1177,108359,16005725.0
2021-09-17,2021-09-17,ANSALAPI,B,9.09,9.28,8.5,8.94,8.94,290,20869,186008.0
2021-09-17,2021-09-17,UTIQUE,X,2.71,2.84,2.62,2.76,2.73,136,101240,278825.0
2021-09-17,2021-09-17,ARUNAHTEL,XT,14.98,14.98,14.24,14.24,14.98,20,1601,22938.0
2021-09-17,2021-09-17,BOMDYEING,A,96.3,96.7,91.85,93.25,96.15,2831,473344,44279798.0
2021-09-17,2021-09-17,ASIANHOTNR,B,87.0,87.0,83.15,83.35,86.8,135,5355,451704.0
2021-09-17,2021-09-17,ATUL,A,9830.1,9833.0,9555.25,9632.4,9740.15,752,1555,15042672.0
2021-09-17,2021-09-17,ATVPR,XT,8.67,8.68,8.36,8.5,8.67,43,9526,81160.0
2021-09-17,2021-09-17,BAJAJELEC,A,1458.8,1588.55,1422.05,1482.5,1442.45,4495,51034,77676254.0
2021-09-17,2021-09-17,BAJAJHIND,T,16.0,16.0,15.0,15.65,15.61,2689,874631,13363996.0
2021-09-17,2021-09-17,FORCEMOT,A,1524.45,1539.0,1480.3,1484.95,1515.35,2438,23969,36156293.0
2021-09-17,2021-09-17,BAJFINANCE,A,7425.0,7676.0,7363.5,7427.05,7410.9,12974,107632,810825363.0
2021-09-17,2021-09-17,BALRAMCHIN,A,357.05,362.3,352.4,357.25,359.05,2506,66799,23900853.0
2021-09-17,2021-09-17,BANCOINDIA,B,212.0,212.0,199.6,203.4,212.4,2022,67094,13726541.0
2021-09-17,2021-09-17,ABREL,A,839.7,859.0,829.85,851.2,835.35,3173,62146,52510478.0
2021-09-17,2021-09-17,BANARISUG,A,2021.25,2279.9,2021.25,2191.85,1931.4,1451,7778,17072600.0
2021-09-17,2021-09-17,BASF,A,3496.95,3497.0,3406.0,3424.7,3467.8,659,3113,10704761.0
2021-09-17,2021-09-17,BATAINDIA,A,1810.0,1829.15,1779.8,1784.85,1805.75,1941,17562,31722129.0
2021-09-17,2021-09-17,BEML,A,1450.0,1463.0,1395.0,1417.0,1455.7,1861,19068,27087070.0
2021-09-17,2021-09-17,BEL,A,206.0,207.15,200.9,204.95,205.45,2545,237415,48427007.0
2021-09-17,2021-09-17,BEPL,A,181.15,183.85,176.1,182.1,181.6,3060,135742,24392227.0
2021-09-17,2021-09-17,TATASTLBSL,T,93.1,93.6,89.1,90.45,93.1,4252,549812,49843128.0
2021-09-17,2021-09-17,BIHSPONG,XT,11.32,12.3,11.2,11.32,11.78,237,67026,769100.0
2021-09-17,2021-09-17,BIRLACABLE,T,86.0,86.0,82.0,83.3,84.05,133,6405,538356.0
2021-09-17,2021-09-17,BLUESTARCO,A,869.95,877.65,836.65,853.4,858.4,904,6016,5166152.0
2021-09-17,2021-09-17,DISAQ,X,5596.0,5675.0,5506.0,5551.0,5581.25,52,151,842804.0
2021-09-17,2021-09-17,QUESTCAP,X,217.75,217.75,200.7,204.95,210.75,48,4969,1043702.0
2021-09-17,2021-09-17,BPL,T,77.35,77.35,70.05,77.35,73.7,2792,561868,42604674.0
2021-09-17,2021-09-17,OAL,B,1040.75,1040.75,994.7,1021.35,1024.85,789,2846,2903827.0
2021-09-17,2021-09-17,CENTEXT,B,9.58,9.62,9.44,9.48,9.56,54,23065,220069.0
2021-09-17,2021-09-17,CESC,A,89.55,96.75,88.2,92.1,882.1,18565,1148189,106128796.0
2021-09-17,2021-09-17,CHAMBLFERT,A,320.25,326.55,310.35,313.05,319.9,1718,61883,19757298.0
2021-09-17,2021-09-17,EXIDEIND,A,183.25,185.65,181.7,184.4,182.85,12643,848316,155735554.0
2021-09-17,2021-09-17,CIPLA,A,954.0,962.6,948.0,954.15,954.0,3730,85547,81805152.0
2021-09-17,2021-09-17,DICIND,B,479.0,479.0,446.3,462.9,470.8,110,2245,1028190.0
2021-09-17,2021-09-17,CRISIL,A,2821.6,2952.55,2821.6,2912.5,2819.35,4968,23544,68454037.0
2021-09-17,2021-09-17,CGPOWER,T,88.55,93.45,87.15,92.15,89.0,1170,273476,24759396.0
2021-09-17,2021-09-17,DABUR,A,641.0,655.6,640.7,653.95,640.35,2952,99450,64633608.0
2021-09-17,2021-09-17,DALMIASUG,A,419.0,427.95,408.0,414.55,421.05,608,9997,4144232.0
