TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2023-12-05,2023-12-05,CM,BSE,STK,500439,INE701A01023,VHL,B,,,,,Vardhman Holdings Limited,3119.95,3119.95,3005.55,3007.55,3007.55,3025.15,,3010.60,,,111,336335.00,55,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500440,INE038A01020,HINDALCO,A,,,,,Hindalco Industries Ltd.,518.95,528.70,515.45,520.40,520.20,519.70,,520.60,,,596579,310543944.00,10644,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500444,INE976A01021,WSTCSTPAPR,A,,,,,West Coast Paper Mills Limited,653.05,686.40,653.05,680.15,680.15,653.75,,680.30,,,49977,33459213.00,2969,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500449,INE048A01011,HOCL,B,,,,,Hindustan Organic Chemicals Ltd.,34.80,35.50,33.77,33.97,33.97,34.14,,33.97,,,80553,2771026.00,545,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500450,INE844C01027,MPILCORPL,XT,,,,,MPIL CORPORATION LIMITED,1178.00,1178.00,1178.00,1178.00,1178.00,1201.00,,1178.00,,,5,5890.00,1,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500456,INE818B01023,PASUPTAC,B,,,,,Pasupati Acrylon Ltd.,40.80,40.80,36.85,37.45,37.25,37.23,,37.49,,,51012,1935317.00,280,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500458,INE601A01017,KORE,XT,,,,,Kore Foods Limited,7.20,7.20,7.00,7.00,7.00,6.87,,7.00,,,3093,21775.00,27,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500459,INE179A01014,PGHH,A,,,,,Procter & Gamble Hygiene & Health Care L,17505.00,17649.95,17254.70,17444.20,17490.50,17491.85,,17435.30,,,268,4678154.00,157,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500460,INE304A01026,MUKANDLTD,B,,,,,MUKAND,177.10,178.95,172.20,174.25,174.25,177.95,,174.60,,,49814,8801888.00,945,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500463,INE676A01027,BBOX,T,,,,,BLACK BOX LIMITED,258.10,263.00,257.00,259.95,261.00,258.10,,261.20,,,8068,2094433.00,130,F1,1,,,,,
